Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
1,2IFC,CC,,left,False,0.8524300996214151,False,,,,False,0.049999999999999996,,,
1,WM_probe,CC,,4,True,1.803456200286746,False,,,,True,,4.0,0.0,0.0
2,2IFC,SC,,left,True,0.3873015008866787,False,,,,True,0.049999999999999996,,,
2,WM_probe,SC,,4,True,1.787474300712347,False,,,,True,,4.0,0.0,0.0
3,2IFC,CC,,no_response,False,,True,right,0.0003185998648405075,True,True,0.06294627058970836,,,
3,WM_probe,CC,,4,True,1.8876265995204449,False,,,,True,,4.0,0.0,0.0
4,2IFC,CI,,right,True,0.38601360097527504,False,,,,True,0.049999999999999996,,,
4,WM_probe,CI,,1,True,1.0484405998140574,False,,,,True,,1.0,0.0,0.0
5,2IFC,SC,,left,True,0.5168149992823601,False,,,,True,0.03971641173621406,,,
5,WM_probe,SC,,3,False,1.5528047997504473,False,,,,False,,4.0,1.0,0.0
6,2IFC,CI,,right,True,0.7814717013388872,False,,,,True,0.03971641173621406,,,
6,WM_probe,CI,,2,True,1.565446900203824,False,,,,True,,2.0,0.0,0.0
7,2IFC,CI,,left,False,0.9085616003721952,False,,,,False,0.031547867224009644,,,
7,WM_probe,CI,,2,True,1.0688419006764889,False,,,,True,,2.0,0.0,0.0
8,2IFC,SC,,right,True,0.9486198984086514,False,,,,True,0.031547867224009644,,,
8,WM_probe,SC,,2,True,1.8277138005942106,False,,,,True,,2.0,0.0,0.0
9,2IFC,CI,,left,True,0.9630683995783329,False,,,,True,0.03971641173621406,,,
9,WM_probe,CI,,3,False,2.124348198994994,False,,,,False,,4.0,0.0,0.0
10,2IFC,CI,,right,True,0.6608081012964249,False,,,,True,0.03971641173621406,,,
10,WM_probe,CI,,1,True,1.2221278995275497,False,,,,True,,1.0,0.0,0.0
11,2IFC,CI,,left,False,0.6300615016371012,False,,,,False,0.03971641173621406,,,
11,WM_probe,CI,,1,False,2.287765000015497,False,,,,False,,2.0,0.0,0.0
12,2IFC,CC,,right,True,0.7743567992001772,False,,,,True,0.0792446596230557,,,
12,WM_probe,CC,,4,False,2.7432211004197598,False,,,,False,,3.0,0.0,0.0
13,2IFC,CC,,left,True,0.3965565003454685,False,,,,True,0.06294627058970836,,,
13,WM_probe,CC,,2,False,1.9324849005788565,False,,,,False,,1.0,0.0,0.0
14,2IFC,CI,,right,True,0.9985082987695932,False,,,,True,0.049999999999999996,,,
14,WM_probe,CI,,2,True,1.9336751010268927,False,,,,True,,2.0,0.0,0.0
15,2IFC,CC,,left,True,0.44269159995019436,False,,,,True,0.06294627058970836,,,
15,WM_probe,CC,,3,False,2.1388972010463476,False,,,,False,,4.0,0.0,0.0
16,2IFC,CI,,left,False,0.5438099000602961,False,,,,False,0.049999999999999996,,,
16,WM_probe,CI,,1,False,2.77237750031054,False,,,,False,,2.0,0.0,0.0
17,2IFC,CI,,right,True,0.7040515001863241,False,,,,True,0.06294627058970836,,,
17,WM_probe,CI,,1,True,1.1019922997802496,False,,,,True,,1.0,0.0,0.0
18,2IFC,CI,,left,True,0.18935919925570488,False,,,,True,0.06294627058970836,,,
18,WM_probe,CI,,2,True,1.3949427008628845,False,,,,True,,2.0,0.0,0.0
19,2IFC,SC,,left,True,0.5149172004312277,False,,,,True,0.025059361681363596,,,
19,WM_probe,SC,,3,True,1.5457991994917393,False,,,,True,,3.0,0.0,0.0
20,2IFC,CC,,right,True,0.6207414995878935,False,,,,True,0.06294627058970836,,,
20,WM_probe,CC,,2,True,2.0317581985145807,False,,,,True,,2.0,0.0,0.0
21,2IFC,CC,,no_response,False,,True,right,0.0005037002265453339,True,True,0.049999999999999996,,,
21,WM_probe,CC,,3,True,2.902751799672842,False,,,,True,,3.0,0.0,0.0
22,2IFC,CC,,left,True,0.3099514991044998,False,,,,True,0.06294627058970836,,,
22,WM_probe,CC,,2,True,0.8802168015390635,False,,,,True,,2.0,0.0,0.0
23,2IFC,CC,,left,True,0.24107839912176132,False,,,,True,0.06294627058970836,,,
23,WM_probe,CC,,2,True,1.6392636001110077,False,,,,True,,2.0,0.0,0.0
24,2IFC,CI,,left,True,0.5265811998397112,False,,,,True,0.06294627058970836,,,
24,WM_probe,CI,,1,True,1.5330884009599686,False,,,,True,,1.0,0.0,0.0
25,2IFC,CC,,left,True,0.48986400105059147,False,,,,True,0.06294627058970836,,,
25,WM_probe,CC,,1,True,1.0620175004005432,False,,,,True,,1.0,0.0,0.0
26,2IFC,CC,,right,True,0.4587146993726492,False,,,,True,0.049999999999999996,,,
26,WM_probe,CC,,2,True,1.299660200253129,False,,,,True,,2.0,0.0,0.0
27,2IFC,CC,,left,True,0.35261170007288456,False,,,,True,0.049999999999999996,,,
27,WM_probe,CC,,1,True,1.9479460008442402,False,,,,True,,1.0,0.0,0.0
28,2IFC,CC,,left,True,0.4982615001499653,False,,,,True,0.049999999999999996,,,
28,WM_probe,CC,,2,True,2.244319500401616,False,,,,True,,2.0,0.0,0.0
29,2IFC,SC,,left,False,0.6019445993006229,False,,,,False,0.019905358527674843,,,
29,WM_probe,SC,,4,False,2.145950799807906,False,,,,False,,2.0,1.0,0.0
30,2IFC,CI,,right,True,0.5646682996302843,False,,,,True,0.049999999999999996,,,
30,WM_probe,CI,,3,False,1.6448755990713835,False,,,,False,,4.0,0.0,0.0
31,2IFC,CI,,right,True,0.5298149008303881,False,,,,True,0.049999999999999996,,,
31,WM_probe,CI,,3,False,2.2536704000085592,False,,,,False,,4.0,0.0,0.0
32,2IFC,CC,,left,True,0.666703499853611,False,,,,True,0.03971641173621406,,,
32,WM_probe,CC,,3,True,1.6999217011034489,False,,,,True,,3.0,0.0,0.0
33,2IFC,CC,,no_response,False,,True,left,0.0005428008735179901,False,False,0.03971641173621406,,,
33,WM_probe,CC,,no_response,False,,True,3,0.8365854993462563,True,True,,3.0,0.0,0.0
34,2IFC,SC,,left,True,0.6436013989150524,False,,,,True,0.025059361681363596,,,
34,WM_probe,SC,,1,True,1.319004399701953,False,,,,True,,1.0,0.0,0.0
35,2IFC,CC,,right,True,0.3888512998819351,False,,,,True,0.049999999999999996,,,
35,WM_probe,CC,,2,False,1.7861966993659735,False,,,,False,,1.0,0.0,0.0
36,2IFC,CC,,right,True,0.5344158988445997,False,,,,True,0.049999999999999996,,,
36,WM_probe,CC,,4,True,1.9337758012115955,False,,,,True,,4.0,0.0,0.0
37,2IFC,CI,,left,True,0.5038541983813047,False,,,,True,0.049999999999999996,,,
37,WM_probe,CI,,3,True,2.6066612005233765,False,,,,True,,3.0,0.0,0.0
38,2IFC,CI,,right,True,0.7226422000676394,False,,,,True,0.03971641173621406,,,
38,WM_probe,CI,,4,True,1.8968764003366232,False,,,,True,,4.0,0.0,0.0
39,2IFC,CC,,left,True,0.9236046001315117,False,,,,True,0.049999999999999996,,,
39,WM_probe,CC,,3,True,2.3090911991894245,False,,,,True,,3.0,0.0,0.0
40,2IFC,CC,,left,True,0.48569499887526035,False,,,,True,0.03971641173621406,,,
40,WM_probe,CC,,3,False,2.9484997000545263,False,,,,False,,1.0,0.0,0.0
41,2IFC,SC,,left,False,0.5862723998725414,False,,,,False,0.025059361681363596,,,
41,WM_probe,SC,,4,False,1.5108409002423286,False,,,,False,,2.0,1.0,0.0
42,2IFC,CI,,left,False,0.9264016002416611,False,,,,False,0.03971641173621406,,,
42,WM_probe,CI,,4,False,2.1115460004657507,False,,,,False,,1.0,0.0,0.0
43,2IFC,CC,,left,True,0.42054579965770245,False,,,,True,0.03971641173621406,,,
43,WM_probe,CC,,1,False,2.691753501072526,False,,,,False,,2.0,0.0,0.0
44,2IFC,CI,,right,True,0.7431943994015455,False,,,,True,0.049999999999999996,,,
44,WM_probe,CI,,1,True,2.522844798862934,False,,,,True,,1.0,0.0,0.0
45,2IFC,SC,,left,False,0.6176047008484602,False,,,,False,0.031547867224009644,,,
45,WM_probe,SC,,4,False,2.095823699608445,False,,,,False,,1.0,0.0,1.0
46,2IFC,CI,,right,True,0.804127698764205,False,,,,True,0.049999999999999996,,,
46,WM_probe,CI,,4,True,1.876545401290059,False,,,,True,,4.0,0.0,0.0
47,2IFC,CI,,left,True,0.6875874008983374,False,,,,True,0.049999999999999996,,,
47,WM_probe,CI,,4,True,2.3911656998097897,False,,,,True,,4.0,0.0,0.0
48,2IFC,CC,,right,False,0.9999608993530273,False,,,,False,0.03971641173621406,,,
48,WM_probe,CC,,4,True,2.9149517007172108,False,,,,True,,4.0,0.0,0.0
49,2IFC,SC,,left,True,0.8108986988663673,False,,,,True,0.03971641173621406,,,
49,WM_probe,SC,,3,False,2.0287478994578123,False,,,,False,,2.0,1.0,0.0
50,2IFC,CI,,left,True,0.7510056998580694,False,,,,True,0.03971641173621406,,,
50,WM_probe,CI,,4,False,1.9701685011386871,False,,,,False,,3.0,0.0,0.0
51,2IFC,CI,,left,False,0.8727628011256456,False,,,,False,0.03971641173621406,,,
51,WM_probe,CI,,2,False,0.9000754989683628,False,,,,False,,1.0,0.0,0.0
52,2IFC,CC,,left,True,0.49054730124771595,False,,,,True,0.049999999999999996,,,
52,WM_probe,CC,,4,False,2.4907671995460987,False,,,,False,,3.0,0.0,0.0
53,2IFC,CI,,left,False,0.8106632996350527,False,,,,False,0.049999999999999996,,,
53,WM_probe,CI,,4,True,2.893536601215601,False,,,,True,,4.0,0.0,0.0
54,2IFC,CI,,left,True,0.417052099481225,False,,,,True,0.06294627058970836,,,
54,WM_probe,CI,,3,True,2.3518318999558687,False,,,,True,,3.0,0.0,0.0
55,2IFC,SC,,left,True,0.5601695999503136,False,,,,True,0.03971641173621406,,,
55,WM_probe,SC,,3,True,2.0137710999697447,False,,,,True,,3.0,0.0,0.0
56,2IFC,CI,,left,True,0.3972702994942665,False,,,,True,0.06294627058970836,,,
56,WM_probe,CI,,2,True,1.991746298968792,False,,,,True,,2.0,0.0,0.0
57,2IFC,CI,,left,True,0.9842911995947361,False,,,,True,0.06294627058970836,,,
57,WM_probe,CI,,1,True,2.183391598984599,False,,,,True,,1.0,0.0,0.0
58,2IFC,CC,,left,True,0.20916029997169971,False,,,,True,0.049999999999999996,,,
58,WM_probe,CC,,3,True,2.3791828006505966,False,,,,True,,3.0,0.0,0.0
59,2IFC,CC,,left,True,0.5670106988400221,False,,,,True,0.049999999999999996,,,
