Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
1,2IFC,CI,,left,True,0.5054498999961652,False,,,,True,0.049999999999999996,,,
1,WM_probe,CI,,2,True,1.9816023999883328,False,,,,True,,2.0,0.0,0.0
2,2IFC,SC,,right,True,0.5657110000029206,False,,,,True,0.049999999999999996,,,
2,WM_probe,SC,,3,True,2.191766200005077,False,,,,True,,3.0,0.0,0.0
3,2IFC,CI,,no_response,False,,True,right,0.0005486999871209264,True,True,0.03971641173621406,,,
3,WM_probe,CI,,4,True,1.8116646999842487,False,,,,True,,4.0,0.0,0.0
4,2IFC,CC,,left,True,0.4579133999941405,False,,,,True,0.049999999999999996,,,
4,WM_probe,CC,,1,True,1.105353399994783,False,,,,True,,1.0,0.0,0.0
5,2IFC,CC,,left,True,0.4977462000097148,False,,,,True,0.03971641173621406,,,
5,WM_probe,CC,,2,False,2.038360399979865,False,,,,False,,1.0,0.0,0.0
6,2IFC,CI,,right,True,0.35223980000591837,False,,,,True,0.049999999999999996,,,
6,WM_probe,CI,,3,True,2.5904763000144158,False,,,,True,,3.0,0.0,0.0
7,2IFC,CI,,right,True,0.4273131999943871,False,,,,True,0.049999999999999996,,,
7,WM_probe,CI,,3,True,1.4494790000026114,False,,,,True,,3.0,0.0,0.0
8,2IFC,SC,,right,True,0.48194659998989664,False,,,,True,0.03971641173621406,,,
8,WM_probe,SC,,2,True,2.3222815000044648,False,,,,True,,2.0,0.0,0.0
9,2IFC,CC,,left,True,0.5399811000097543,False,,,,True,0.031547867224009644,,,
9,WM_probe,CC,,2,True,1.6445650999958161,False,,,,True,,2.0,0.0,0.0
10,2IFC,SC,,right,True,0.35396949999267235,False,,,,True,0.031547867224009644,,,
10,WM_probe,SC,,1,True,0.9045869999972638,False,,,,True,,1.0,0.0,0.0
11,2IFC,SC,,right,True,0.39371969999046996,False,,,,True,0.025059361681363596,,,
11,WM_probe,SC,,2,True,1.1295568000059575,False,,,,True,,2.0,0.0,0.0
12,2IFC,SC,,right,False,0.7310668999853078,False,,,,False,0.019905358527674843,,,
12,WM_probe,SC,,4,True,1.7206403999880422,False,,,,True,,4.0,0.0,0.0
13,2IFC,SC,,left,True,0.47748739999951795,False,,,,True,0.025059361681363596,,,
