Participant,Day,SessionBlock,Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
00218,1.0,3.0,1,2IFC,SC,,right,True,0.24469019984826446,False,,,,True,0.049999999999999996,,,
,,,1,WM_probe,SC,,3,True,1.2498892000876367,False,,,,True,,3.0,0.0,0.0
00218,1.0,3.0,2,2IFC,CC,,left,True,0.5496126001235098,False,,,,True,0.049999999999999996,,,
,,,2,WM_probe,CC,,2,True,1.1365404000971466,False,,,,True,,2.0,0.0,0.0
00218,1.0,3.0,3,2IFC,SC,,right,False,0.47967109992168844,False,,,,False,0.03971641173621406,,,
,,,3,WM_probe,SC,,1,True,1.4580131999682635,False,,,,True,,1.0,0.0,0.0
00218,1.0,3.0,4,2IFC,CC,,right,True,0.2825281999539584,False,,,,True,0.03971641173621406,,,
,,,4,WM_probe,CC,,4,True,1.8615188000258058,False,,,,True,,4.0,0.0,0.0
00218,1.0,3.0,5,2IFC,CC,,left,True,0.5534916999749839,False,,,,True,0.031547867224009644,,,
,,,5,WM_probe,CC,,3,False,1.7076641998719424,False,,,,False,,1.0,0.0,0.0
00218,1.0,3.0,6,2IFC,SC,,right,True,0.1755075000692159,False,,,,True,0.049999999999999996,,,
,,,6,WM_probe,SC,,1,True,1.256018100073561,False,,,,True,,1.0,0.0,0.0
00218,1.0,3.0,7,2IFC,CI,,right,True,0.2517279000021517,False,,,,True,0.049999999999999996,,,
,,,7,WM_probe,CI,,4,False,1.8951786998659372,False,,,,False,,3.0,0.0,0.0
00218,1.0,3.0,8,2IFC,SC,,right,True,0.4237854001112282,False,,,,True,0.049999999999999996,,,
,,,8,WM_probe,SC,,1,True,1.74732490000315,False,,,,True,,1.0,0.0,0.0
00218,1.0,3.0,9,2IFC,CI,,right,True,0.439352500019595,False,,,,True,0.03971641173621406,,,
,,,9,WM_probe,CI,,2,True,1.9061098000966012,False,,,,True,,2.0,0.0,0.0
00218,1.0,3.0,10,2IFC,SC,,left,True,0.227606900036335,False,,,,True,0.049999999999999996,,,
,,,10,WM_probe,SC,,1,True,0.9015542999841273,False,,,,True,,1.0,0.0,0.0
00218,1.0,3.0,11,2IFC,CC,,right,False,0.30117579991929233,False,,,,False,0.025059361681363596,,,
,,,11,WM_probe,CC,,4,True,1.5515829999931157,False,,,,True,,4.0,0.0,0.0
00218,1.0,3.0,12,2IFC,CC,,right,True,0.41641539987176657,False,,,,True,0.031547867224009644,,,
,,,12,WM_probe,CC,,3,False,1.489987000124529,False,,,,False,,1.0,0.0,0.0
00218,1.0,3.0,13,2IFC,CC,,left,True,0.3375653000548482,False,,,,True,0.031547867224009644,,,
,,,13,WM_probe,CC,,4,True,1.3308317000046372,False,,,,True,,4.0,0.0,0.0
00218,1.0,3.0,14,2IFC,CI,,right,False,0.25048040016554296,False,,,,False,0.031547867224009644,,,
,,,14,WM_probe,CI,,3,False,1.377800300018862,False,,,,False,,1.0,0.0,0.0
00218,1.0,3.0,15,2IFC,CC,,right,False,0.5776691001374274,False,,,,False,0.031547867224009644,,,
