Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
1,2IFC,CC,,left,True,0.5921168999921065,False,,,,True,0.049999999999999996,,,
1,WM_probe,CC,,3,True,1.144876500009559,False,,,,True,,3.0,0.0,0.0
2,2IFC,CC,,right,True,0.642011799995089,False,,,,True,0.03971641173621406,,,
2,WM_probe,CC,,2,True,1.2267906999913976,False,,,,True,,2.0,0.0,0.0
3,2IFC,SC,,right,True,0.5120001999894157,False,,,,True,0.049999999999999996,,,
3,WM_probe,SC,,2,True,1.9203680999926291,False,,,,True,,2.0,0.0,0.0
4,2IFC,CI,,right,True,0.4668199000007007,False,,,,True,0.049999999999999996,,,
4,WM_probe,CI,,2,True,1.1879118999931961,False,,,,True,,2.0,0.0,0.0
5,2IFC,CC,,right,True,0.6373317000106908,False,,,,True,0.031547867224009644,,,
5,WM_probe,CC,,1,True,2.163294700003462,False,,,,True,,1.0,0.0,0.0
6,2IFC,SC,,left,True,0.5996615999902133,False,,,,True,0.03971641173621406,,,
6,WM_probe,SC,,3,False,2.185994400002528,False,,,,False,,4.0,0.0,0.0
7,2IFC,CI,,right,True,0.4247302000003401,False,,,,True,0.03971641173621406,,,
7,WM_probe,CI,,4,False,1.8626102000125684,False,,,,False,,3.0,0.0,0.0
8,2IFC,SC,,right,True,0.4753907000122126,False,,,,True,0.031547867224009644,,,
8,WM_probe,SC,,4,True,2.301730299979681,False,,,,True,,4.0,0.0,0.0
9,2IFC,CI,,left,True,0.5604502999922261,False,,,,True,0.031547867224009644,,,
9,WM_probe,CI,,3,True,1.4433974999992643,False,,,,True,,3.0,0.0,0.0
10,2IFC,CC,,right,True,0.4711451999901328,False,,,,True,0.025059361681363596,,,
10,WM_probe,CC,,2,True,1.391821400000481,False,,,,True,,2.0,0.0,0.0
11,2IFC,CC,,left,True,0.48076159998890944,False,,,,True,0.019905358527674843,,,
11,WM_probe,CC,,2,True,1.1762061000044923,False,,,,True,,2.0,0.0,0.0
12,2IFC,CC,,left,True,0.6567202000005636,False,,,,True,0.01581138830084188,,,
12,WM_probe,CC,,2,True,0.8492580000020098,False,,,,True,,2.0,0.0,0.0
13,2IFC,CI,,left,True,0.5836058999993838,False,,,,True,0.025059361681363596,,,
13,WM_probe,CI,,2,False,2.238864900020417,False,,,,False,,3.0,0.0,0.0
14,2IFC,SC,,right,True,0.5320545000140555,False,,,,True,0.025059361681363596,,,
14,WM_probe,SC,,4,True,0.8698448000068311,False,,,,True,,4.0,0.0,0.0
15,2IFC,CC,,left,True,0.5629832999838982,False,,,,True,0.012559432157547883,,,
15,WM_probe,CC,,1,True,1.0633071000047494,False,,,,True,,1.0,0.0,0.0
16,2IFC,CI,,left,True,0.5764599000103772,False,,,,True,0.019905358527674843,,,
16,WM_probe,CI,,3,True,2.213654699997278,False,,,,True,,3.0,0.0,0.0
17,2IFC,CI,,left,True,0.6426513000042178,False,,,,True,0.01581138830084188,,,
17,WM_probe,CI,,3,False,2.256389300018782,False,,,,False,,4.0,0.0,0.0
18,2IFC,SC,,right,True,0.7232661999878474,False,,,,True,0.019905358527674843,,,
18,WM_probe,SC,,3,False,2.5592407999793068,False,,,,False,,4.0,0.0,0.0
19,2IFC,CC,,left,False,0.6451036000216845,False,,,,False,0.009976311574844382,,,
19,WM_probe,CC,,4,True,0.9466204999771435,False,,,,True,,4.0,0.0,0.0
20,2IFC,CI,,left,True,0.5734579999989364,False,,,,True,0.012559432157547883,,,
20,WM_probe,CI,,2,True,1.3884217999875546,False,,,,True,,2.0,0.0,0.0
21,2IFC,CI,,left,False,0.7727904000203125,False,,,,False,0.009976311574844382,,,
21,WM_probe,CI,,3,True,1.5739345999900252,False,,,,True,,3.0,0.0,0.0
22,2IFC,CI,,right,True,0.8792248000099789,False,,,,True,0.012559432157547883,,,
22,WM_probe,CI,,4,False,2.1498089999950025,False,,,,False,,2.0,0.0,0.0
23,2IFC,CC,,left,True,0.6625253999955021,False,,,,True,0.012559432157547883,,,
23,WM_probe,CC,,2,True,1.1026054999965709,False,,,,True,,2.0,0.0,0.0
24,2IFC,CC,,right,True,0.5645661000162363,False,,,,True,0.012559432157547883,,,
24,WM_probe,CC,,2,False,2.4297224000038113,False,,,,False,,1.0,0.0,0.0
25,2IFC,SC,,right,True,0.504460600001039,False,,,,True,0.01581138830084188,,,
25,WM_probe,SC,,4,True,1.0400119999831077,False,,,,True,,4.0,0.0,0.0
26,2IFC,CC,,left,True,0.558733999991091,False,,,,True,0.012559432157547883,,,
26,WM_probe,CC,,3,True,1.1286828000156675,False,,,,True,,3.0,0.0,0.0
27,2IFC,SC,,left,True,0.5116589000099339,False,,,,True,0.012559432157547883,,,
27,WM_probe,SC,,3,False,1.689590300025884,False,,,,False,,2.0,0.0,0.0
28,2IFC,CI,,left,False,0.593328199989628,False,,,,False,0.012559432157547883,,,
28,WM_probe,CI,,3,False,1.600682299991604,False,,,,False,,4.0,0.0,0.0
29,2IFC,SC,,left,True,0.5767509000143036,False,,,,True,0.009976311574844382,,,
29,WM_probe,SC,,3,True,1.72023179999087,False,,,,True,,3.0,0.0,0.0
30,2IFC,CC,,left,True,0.49912289998610504,False,,,,True,0.009976311574844382,,,
30,WM_probe,CC,,2,True,1.6176474000094458,False,,,,True,,2.0,0.0,0.0
31,2IFC,SC,,left,False,0.4947154999827035,False,,,,False,0.007924465962305553,,,
31,WM_probe,SC,,2,True,1.507123799994588,False,,,,True,,2.0,0.0,0.0
32,2IFC,CI,,right,False,0.7097630999924149,False,,,,False,0.01581138830084188,,,
32,WM_probe,CI,,3,False,1.2283153999887872,False,,,,False,,4.0,0.0,0.0
33,2IFC,SC,,left,True,0.5801951999892481,False,,,,True,0.009976311574844382,,,
33,WM_probe,SC,,1,True,1.890692000015406,False,,,,True,,1.0,0.0,0.0
34,2IFC,CI,,right,True,0.512559800001327,False,,,,True,0.019905358527674843,,,
34,WM_probe,CI,,4,True,1.6707323000009637,False,,,,True,,4.0,0.0,0.0
35,2IFC,SC,,left,False,0.5096513999742456,False,,,,False,0.009976311574844382,,,
35,WM_probe,SC,,1,True,1.5177241999772377,False,,,,True,,1.0,0.0,0.0
36,2IFC,SC,,left,True,0.2776488999952562,False,,,,True,0.012559432157547883,,,
36,WM_probe,SC,,3,True,1.9505976999935228,False,,,,True,,3.0,0.0,0.0
37,2IFC,CC,,left,False,0.7563812000153121,False,,,,False,0.009976311574844382,,,
37,WM_probe,CC,,1,True,0.9358869999996386,False,,,,True,,1.0,0.0,0.0
38,2IFC,CI,,left,True,0.4756266000040341,False,,,,True,0.019905358527674843,,,
38,WM_probe,CI,,4,False,1.8853547000035178,False,,,,False,,2.0,0.0,0.0
39,2IFC,CI,,left,True,0.6785060000256635,False,,,,True,0.019905358527674843,,,
39,WM_probe,CI,,1,True,0.8004531000042334,False,,,,True,,1.0,0.0,0.0
40,2IFC,SC,,left,True,0.5052393000223674,False,,,,True,0.012559432157547883,,,
40,WM_probe,SC,,1,True,1.8078937000245787,False,,,,True,,1.0,0.0,0.0
41,2IFC,SC,,left,True,0.4475125999888405,False,,,,True,0.012559432157547883,,,
41,WM_probe,SC,,3,True,0.9126836000068579,False,,,,True,,3.0,0.0,0.0
42,2IFC,CC,,right,True,0.4276217999868095,False,,,,True,0.012559432157547883,,,
42,WM_probe,CC,,1,True,1.9522479000152089,False,,,,True,,1.0,0.0,0.0
43,2IFC,CC,,left,True,0.6016914999927394,False,,,,True,0.012559432157547883,,,
43,WM_probe,CC,,1,True,1.6453989000001457,False,,,,True,,1.0,0.0,0.0
44,2IFC,CC,,right,True,0.5302930000179913,False,,,,True,0.012559432157547883,,,
44,WM_probe,CC,,2,True,2.3679752000025474,False,,,,True,,2.0,0.0,0.0
45,2IFC,CC,,left,False,0.5878664999909233,False,,,,False,0.009976311574844382,,,
45,WM_probe,CC,,4,True,0.9082964000117499,False,,,,True,,4.0,0.0,0.0
46,2IFC,CI,,right,True,0.5762163999897894,False,,,,True,0.01581138830084188,,,
46,WM_probe,CI,,3,True,0.9277408999914769,False,,,,True,,3.0,0.0,0.0
47,2IFC,CC,,left,True,0.498865300003672,False,,,,True,0.012559432157547883,,,
47,WM_probe,CC,,3,True,1.0993580000067595,False,,,,True,,3.0,0.0,0.0
48,2IFC,SC,,left,True,0.601593800005503,False,,,,True,0.009976311574844382,,,
48,WM_probe,SC,,3,False,2.1594879000040237,False,,,,False,,4.0,0.0,0.0
49,2IFC,CI,,left,True,0.4334705999935977,False,,,,True,0.01581138830084188,,,
49,WM_probe,CI,,4,True,1.1861305000202265,False,,,,True,,4.0,0.0,0.0
50,2IFC,CC,,left,True,0.23606009999639355,False,,,,True,0.012559432157547883,,,
50,WM_probe,CC,,3,False,1.6474260999821126,False,,,,False,,4.0,0.0,0.0
51,2IFC,CI,,left,True,0.33931710000615567,False,,,,True,0.01581138830084188,,,
51,WM_probe,CI,,3,True,1.880440400011139,False,,,,True,,3.0,0.0,0.0
52,2IFC,SC,,left,True,0.41410399999585934,False,,,,True,0.009976311574844382,,,
52,WM_probe,SC,,1,True,1.1707313999941107,False,,,,True,,1.0,0.0,0.0
53,2IFC,SC,,right,True,0.44650930000352673,False,,,,True,0.009976311574844382,,,
53,WM_probe,SC,,2,True,1.041928899998311,False,,,,True,,2.0,0.0,0.0
54,2IFC,CI,,right,True,0.5667600000160746,False,,,,True,0.012559432157547883,,,
54,WM_probe,CI,,1,True,0.9118713999923784,False,,,,True,,1.0,0.0,0.0
55,2IFC,CC,,left,True,0.5571978000225499,False,,,,True,0.012559432157547883,,,
55,WM_probe,CC,,4,False,1.5769712000037543,False,,,,False,,2.0,0.0,0.0
56,2IFC,CC,,right,True,0.48266599999624304,False,,,,True,0.009976311574844382,,,
56,WM_probe,CC,,1,False,2.131937799975276,False,,,,False,,4.0,0.0,0.0
57,2IFC,CC,,right,True,0.5181368000048678,False,,,,True,0.009976311574844382,,,
57,WM_probe,CC,,3,False,1.481248099997174,False,,,,False,,2.0,0.0,0.0
58,2IFC,CI,,left,True,0.45107999999891035,False,,,,True,0.012559432157547883,,,
58,WM_probe,CI,,3,True,1.3271415999915916,False,,,,True,,3.0,0.0,0.0
59,2IFC,CC,,right,True,0.5470804999931715,False,,,,True,0.009976311574844382,,,
59,WM_probe,CC,,3,True,1.3144982999947388,False,,,,True,,3.0,0.0,0.0
60,2IFC,CC,,left,True,0.5450855999952182,False,,,,True,0.007924465962305553,,,
60,WM_probe,CC,,3,True,1.038213599997107,False,,,,True,,3.0,0.0,0.0
61,2IFC,SC,,left,True,0.4637178999837488,False,,,,True,0.007924465962305553,,,
61,WM_probe,SC,,3,False,2.270968600001652,False,,,,False,,4.0,0.0,0.0
62,2IFC,CC,,right,True,0.4706749999895692,False,,,,True,0.007924465962305553,,,
62,WM_probe,CC,,2,True,0.8968771999934688,False,,,,True,,2.0,0.0,0.0
63,2IFC,CI,,left,True,0.5729757000226527,False,,,,True,0.012559432157547883,,,
63,WM_probe,CI,,2,True,1.0256440000084694,False,,,,True,,2.0,0.0,0.0
64,2IFC,CC,,left,True,0.5428401000099257,False,,,,True,0.007924465962305553,,,
64,WM_probe,CC,,1,True,0.8028353000117932,False,,,,True,,1.0,0.0,0.0
65,2IFC,CI,,left,True,0.7471459000080358,False,,,,True,0.009976311574844382,,,
65,WM_probe,CI,,1,True,1.1684663000050932,False,,,,True,,1.0,0.0,0.0
66,2IFC,CC,,left,False,0.521945999993477,False,,,,False,0.006294627058970824,,,
66,WM_probe,CC,,2,True,1.6698897000169381,False,,,,True,,2.0,0.0,0.0
67,2IFC,CI,,left,True,0.5622188999841455,False,,,,True,0.009976311574844382,,,
67,WM_probe,CI,,1,True,0.7955259000009391,False,,,,True,,1.0,0.0,0.0
68,2IFC,CC,,right,True,0.43674440000904724,False,,,,True,0.007924465962305553,,,
68,WM_probe,CC,,3,True,1.1039444000052754,False,,,,True,,3.0,0.0,0.0
69,2IFC,CI,,left,False,0.6046536000212654,False,,,,False,0.009976311574844382,,,
69,WM_probe,CI,,3,True,1.0624821999808773,False,,,,True,,3.0,0.0,0.0
70,2IFC,SC,,right,True,0.5248293000040576,False,,,,True,0.007924465962305553,,,
70,WM_probe,SC,,4,False,1.660302700009197,False,,,,False,,3.0,0.0,0.0
71,2IFC,SC,,left,True,0.5132730999903288,False,,,,True,0.007924465962305553,,,
71,WM_probe,SC,,1,True,0.978009899990866,False,,,,True,,1.0,0.0,0.0
72,2IFC,SC,,right,True,0.49392909999005497,False,,,,True,0.006294627058970824,,,
72,WM_probe,SC,,1,True,1.007213699980639,False,,,,True,,1.0,0.0,0.0
73,2IFC,CI,,left,True,0.30028979998314753,False,,,,True,0.012559432157547883,,,
73,WM_probe,CI,,3,False,1.4740511999989394,False,,,,False,,4.0,0.0,0.0
74,2IFC,SC,,left,False,0.3755432000034489,False,,,,False,0.006294627058970824,,,
74,WM_probe,SC,,2,True,1.159105599974282,False,,,,True,,2.0,0.0,0.0
75,2IFC,SC,,left,True,0.4637827000115067,False,,,,True,0.007924465962305553,,,
75,WM_probe,SC,,3,True,1.4550653000187594,False,,,,True,,3.0,0.0,0.0
76,2IFC,CI,,right,True,0.5443505000148434,False,,,,True,0.012559432157547883,,,
76,WM_probe,CI,,2,True,1.8583087000006344,False,,,,True,,2.0,0.0,0.0
77,2IFC,CC,,left,True,0.40659699999378063,False,,,,True,0.007924465962305553,,,
77,WM_probe,CC,,3,True,1.0276136999891605,False,,,,True,,3.0,0.0,0.0
78,2IFC,CC,,left,True,0.5662421000015456,False,,,,True,0.007924465962305553,,,
78,WM_probe,CC,,1,True,0.8421225000056438,False,,,,True,,1.0,0.0,0.0
79,2IFC,SC,,left,False,0.5245730000024196,False,,,,False,0.007924465962305553,,,
79,WM_probe,SC,,3,True,1.501983200025279,False,,,,True,,3.0,0.0,0.0
80,2IFC,SC,,left,False,0.5187602000078186,False,,,,False,0.009976311574844382,,,
80,WM_probe,SC,,1,True,1.2405906999774743,False,,,,True,,1.0,0.0,0.0
81,2IFC,SC,,right,True,0.5228033000021242,False,,,,True,0.012559432157547883,,,
81,WM_probe,SC,,2,False,1.6830786000064109,False,,,,False,,4.0,0.0,0.0
82,2IFC,CI,,right,True,0.21697720000520349,False,,,,True,0.012559432157547883,,,
82,WM_probe,CI,,2,False,2.3121132000233047,False,,,,False,,4.0,0.0,0.0
83,2IFC,CC,,left,True,0.4972446000028867,False,,,,True,0.006294627058970824,,,
83,WM_probe,CC,,3,False,2.160627800010843,False,,,,False,,4.0,0.0,0.0
84,2IFC,SC,,left,True,0.3982615999993868,False,,,,True,0.012559432157547883,,,
84,WM_probe,SC,,3,True,1.2196286999969743,False,,,,True,,3.0,0.0,0.0
85,2IFC,SC,,left,True,0.7073795000032987,False,,,,True,0.012559432157547883,,,
85,WM_probe,SC,,2,False,1.4041841000143904,False,,,,False,,3.0,0.0,0.0
86,2IFC,SC,,left,False,0.44512739998754114,False,,,,False,0.009976311574844382,,,
86,WM_probe,SC,,2,True,1.01115690000006,False,,,,True,,2.0,0.0,0.0
87,2IFC,SC,,left,True,0.3671343000023626,False,,,,True,0.012559432157547883,,,
87,WM_probe,SC,,2,True,1.3455903000140097,False,,,,True,,2.0,0.0,0.0
88,2IFC,SC,,left,True,0.4918762000161223,False,,,,True,0.012559432157547883,,,
88,WM_probe,SC,,4,True,2.19904169999063,False,,,,True,,4.0,0.0,0.0
89,2IFC,CI,,right,True,0.49425809999229386,False,,,,True,0.009976311574844382,,,
89,WM_probe,CI,,1,False,2.349627200019313,False,,,,False,,4.0,0.0,0.0
90,2IFC,CI,,left,True,0.8535706000111531,False,,,,True,0.009976311574844382,,,
90,WM_probe,CI,,3,True,1.919945400004508,False,,,,True,,3.0,0.0,0.0
91,2IFC,CC,,left,False,0.5404141999897547,False,,,,False,0.006294627058970824,,,
91,WM_probe,CC,,3,True,1.8791850999987219,False,,,,True,,3.0,0.0,0.0
92,2IFC,CI,,left,False,0.481033899995964,False,,,,False,0.009976311574844382,,,
92,WM_probe,CI,,3,True,1.2859942000068258,False,,,,True,,3.0,0.0,0.0
93,2IFC,CI,,right,True,0.5577049999847077,False,,,,True,0.012559432157547883,,,
93,WM_probe,CI,,3,True,1.2172598000033759,False,,,,True,,3.0,0.0,0.0
94,2IFC,SC,,left,True,0.5660226999898441,False,,,,True,0.012559432157547883,,,
94,WM_probe,SC,,2,True,1.2439200000080746,False,,,,True,,2.0,0.0,0.0
95,2IFC,CI,,right,True,0.5045851999893785,False,,,,True,0.012559432157547883,,,
95,WM_probe,CI,,3,True,1.3585134000168182,False,,,,True,,3.0,0.0,0.0
96,2IFC,SC,,left,True,0.5572923000145238,False,,,,True,0.009976311574844382,,,
96,WM_probe,SC,,3,False,1.7109448999981396,False,,,,False,,4.0,0.0,0.0
97,2IFC,CI,,right,False,0.7165974999952596,False,,,,False,0.012559432157547883,,,
97,WM_probe,CI,,4,True,1.1558610000065528,False,,,,True,,4.0,0.0,0.0
98,2IFC,CI,,left,True,0.47261989998514764,False,,,,True,0.01581138830084188,,,
98,WM_probe,CI,,3,False,1.498343000013847,False,,,,False,,2.0,0.0,0.0
99,2IFC,CC,,left,True,0.5671494000125676,False,,,,True,0.007924465962305553,,,
99,WM_probe,CC,,2,True,0.9095295000006445,False,,,,True,,2.0,0.0,0.0
100,YN,CC,True,right,False,0.8556043000135105,False,,,,False,0.007924465962305553,,,
