Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
1,2IFC,CI,,right,True,0.6992098999908194,False,,,,True,0.049999999999999996,,,
1,WM_probe,CI,,4,True,1.5789071000181139,False,,,,True,,4.0,0.0,0.0
2,2IFC,CI,,right,True,0.5209732999792323,False,,,,True,0.03971641173621406,,,
2,WM_probe,CI,,2,True,1.4469171999953687,False,,,,True,,2.0,0.0,0.0
3,2IFC,CI,,left,True,0.5625260000815615,False,,,,True,0.031547867224009644,,,
3,WM_probe,CI,,3,True,1.095977499964647,False,,,,True,,3.0,0.0,0.0
4,2IFC,CC,,right,True,0.6089640000136569,False,,,,True,0.049999999999999996,,,
4,WM_probe,CC,,3,False,2.3482739999890327,False,,,,False,,4.0,0.0,0.0
5,2IFC,CI,,left,True,0.5512414999539033,False,,,,True,0.025059361681363596,,,
5,WM_probe,CI,,1,True,1.4784592000069097,False,,,,True,,1.0,0.0,0.0
6,2IFC,CI,,right,False,0.5036049999762326,False,,,,False,0.019905358527674843,,,
6,WM_probe,CI,,3,True,1.0337792000500485,False,,,,True,,3.0,0.0,0.0
7,2IFC,CC,,left,True,0.5206395999994129,False,,,,True,0.03971641173621406,,,
7,WM_probe,CC,,3,True,1.3193569999421015,False,,,,True,,3.0,0.0,0.0
8,2IFC,CC,,left,True,0.4577284000115469,False,,,,True,0.031547867224009644,,,
8,WM_probe,CC,,3,True,1.1393132000230253,False,,,,True,,3.0,0.0,0.0
9,2IFC,CC,,right,True,0.6976702000247315,False,,,,True,0.025059361681363596,,,
9,WM_probe,CC,,4,False,2.0561758000403643,False,,,,False,,1.0,0.0,0.0
10,2IFC,SC,,right,True,0.7492922000819817,False,,,,True,0.049999999999999996,,,
10,WM_probe,SC,,2,False,2.6261259999591857,False,,,,False,,3.0,0.0,0.0
11,2IFC,CC,,left,True,0.6212486999575049,False,,,,True,0.019905358527674843,,,
11,WM_probe,CC,,1,True,1.9910407999996096,False,,,,True,,1.0,0.0,0.0
12,2IFC,CC,,right,True,0.7293934000190347,False,,,,True,0.01581138830084188,,,
12,WM_probe,CC,,2,True,2.0329239000566304,False,,,,True,,2.0,0.0,0.0
13,2IFC,SC,,left,True,0.5418276999844238,False,,,,True,0.03971641173621406,,,
13,WM_probe,SC,,1,True,1.9118087999522686,False,,,,True,,1.0,0.0,0.0
14,2IFC,SC,,right,True,0.6084921000292525,False,,,,True,0.031547867224009644,,,
14,WM_probe,SC,,4,True,2.1086331999395043,False,,,,True,,4.0,0.0,0.0
15,2IFC,CI,,right,True,0.7567453000228852,False,,,,True,0.025059361681363596,,,
15,WM_probe,CI,,4,True,2.0623964000260457,False,,,,True,,4.0,0.0,0.0
16,2IFC,CC,,left,True,0.5471589000662789,False,,,,True,0.012559432157547883,,,
16,WM_probe,CC,,2,True,1.490860299905762,False,,,,True,,2.0,0.0,0.0
17,2IFC,SC,,left,True,0.5945616000099108,False,,,,True,0.025059361681363596,,,
17,WM_probe,SC,,2,True,1.113297100062482,False,,,,True,,2.0,0.0,0.0
18,2IFC,SC,,left,True,0.5810716999694705,False,,,,True,0.019905358527674843,,,
18,WM_probe,SC,,1,True,1.6539832999696955,False,,,,True,,1.0,0.0,0.0
19,2IFC,SC,,right,False,0.5651510999305174,False,,,,False,0.01581138830084188,,,
19,WM_probe,SC,,3,False,1.0694648999487981,False,,,,False,,1.0,0.0,0.0
