Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
1,2IFC,SC,,left,True,0.766856599599123,False,,,,True,0.049999999999999996,,,
1,WM_probe,SC,,4,True,2.2422952000051737,False,,,,True,,4.0,0.0,0.0
2,2IFC,SC,,right,True,0.6961252000182867,False,,,,True,0.03971641173621406,,,
2,WM_probe,SC,,3,True,1.2513916995376348,False,,,,True,,3.0,0.0,0.0
3,2IFC,SC,,left,False,0.5232817009091377,False,,,,False,0.031547867224009644,,,
3,WM_probe,SC,,2,True,0.9612803999334574,False,,,,True,,2.0,0.0,0.0
4,2IFC,CC,,right,True,0.2789054997265339,False,,,,True,0.049999999999999996,,,
4,WM_probe,CC,,4,True,1.2610465995967388,False,,,,True,,4.0,0.0,0.0
5,2IFC,SC,,left,True,0.24712250009179115,False,,,,True,0.03971641173621406,,,
5,WM_probe,SC,,4,True,1.8787581995129585,False,,,,True,,4.0,0.0,0.0
6,2IFC,SC,,left,True,0.5864832010120153,False,,,,True,0.03971641173621406,,,
6,WM_probe,SC,,4,True,0.8213005010038614,False,,,,True,,4.0,0.0,0.0
7,2IFC,CI,,right,True,0.5215489007532597,False,,,,True,0.049999999999999996,,,
7,WM_probe,CI,,3,True,1.6925050001591444,False,,,,True,,3.0,0.0,0.0
8,2IFC,CC,,right,True,0.7463280018419027,False,,,,True,0.03971641173621406,,,
8,WM_probe,CC,,3,False,1.2905174009501934,False,,,,False,,2.0,0.0,0.0
9,2IFC,CI,,right,True,0.6791246999055147,False,,,,True,0.03971641173621406,,,
9,WM_probe,CI,,1,True,1.4642129000276327,False,,,,True,,1.0,0.0,0.0
10,2IFC,CI,,right,True,0.2869464010000229,False,,,,True,0.031547867224009644,,,
10,WM_probe,CI,,2,True,2.0359514988958836,False,,,,True,,2.0,0.0,0.0
11,2IFC,CC,,left,False,0.5514061991125345,False,,,,False,0.031547867224009644,,,
11,WM_probe,CC,,4,True,1.3759294003248215,False,,,,True,,4.0,0.0,0.0
12,2IFC,CI,,right,True,0.6046321000903845,False,,,,True,0.025059361681363596,,,
12,WM_probe,CI,,3,True,1.521008299663663,False,,,,True,,3.0,0.0,0.0
13,2IFC,SC,,left,True,0.32485160045325756,False,,,,True,0.03971641173621406,,,
13,WM_probe,SC,,1,True,1.7964712996035814,False,,,,True,,1.0,0.0,0.0
14,2IFC,CC,,right,True,0.1736861988902092,False,,,,True,0.03971641173621406,,,
14,WM_probe,CC,,3,True,1.9866185002028942,False,,,,True,,3.0,0.0,0.0
15,2IFC,CI,,right,True,0.38660329952836037,False,,,,True,0.019905358527674843,,,
15,WM_probe,CI,,2,True,2.0365513991564512,False,,,,True,,2.0,0.0,0.0
16,2IFC,CI,,left,True,0.45001089945435524,False,,,,True,0.01581138830084188,,,
16,WM_probe,CI,,2,False,1.9685097001492977,False,,,,False,,3.0,0.0,0.0
17,2IFC,CC,,left,True,0.5281092990189791,False,,,,True,0.03971641173621406,,,
17,WM_probe,CC,,2,False,1.5321545992046595,False,,,,False,,1.0,0.0,0.0
18,2IFC,CI,,left,False,0.6628588996827602,False,,,,False,0.012559432157547883,,,
18,WM_probe,CI,,no_response,False,,True,3,0.000273900106549263,False,False,,4.0,0.0,0.0
19,2IFC,SC,,right,False,0.38314560055732727,False,,,,False,0.031547867224009644,,,
19,WM_probe,SC,,1,True,1.565387099981308,False,,,,True,,1.0,0.0,0.0
20,2IFC,SC,,right,True,0.4780155010521412,False,,,,True,0.03971641173621406,,,
20,WM_probe,SC,,1,True,1.0438075996935368,False,,,,True,,1.0,0.0,0.0
21,2IFC,CI,,left,False,0.4060837011784315,False,,,,False,0.01581138830084188,,,
21,WM_probe,CI,,3,True,1.0866889990866184,False,,,,True,,3.0,0.0,0.0
22,2IFC,CC,,right,True,0.43870520032942295,False,,,,True,0.03971641173621406,,,
22,WM_probe,CC,,4,True,0.8426492996513844,False,,,,True,,4.0,0.0,0.0
23,2IFC,CC,,left,True,0.53889250010252,False,,,,True,0.031547867224009644,,,
23,WM_probe,CC,,4,True,1.47690299898386,False,,,,True,,4.0,0.0,0.0
24,2IFC,CC,,left,False,0.4286458007991314,False,,,,False,0.031547867224009644,,,
24,WM_probe,CC,,4,True,1.2231729999184608,False,,,,True,,4.0,0.0,0.0
25,2IFC,CI,,left,True,0.44157310016453266,False,,,,True,0.019905358527674843,,,
25,WM_probe,CI,,4,False,1.6803035996854305,False,,,,False,,3.0,0.0,0.0
26,2IFC,CI,,right,False,0.5959157012403011,False,,,,False,0.019905358527674843,,,
26,WM_probe,CI,,4,True,1.382473198696971,False,,,,True,,4.0,0.0,0.0
27,2IFC,SC,,left,True,0.3949916996061802,False,,,,True,0.03971641173621406,,,
27,WM_probe,SC,,no_response,False,,True,4,0.6454886011779308,False,False,,1.0,0.0,0.0
28,2IFC,CC,,left,True,0.6153942998498678,False,,,,True,0.03971641173621406,,,
28,WM_probe,CC,,1,True,0.9661208000034094,False,,,,True,,1.0,0.0,0.0
29,2IFC,CC,,left,True,0.4482121001929045,False,,,,True,0.03971641173621406,,,
29,WM_probe,CC,,3,True,1.413875699043274,False,,,,True,,3.0,0.0,0.0
30,2IFC,SC,,left,False,0.6202230006456375,False,,,,False,0.03971641173621406,,,
30,WM_probe,SC,,3,True,1.6024744007736444,False,,,,True,,3.0,0.0,0.0
31,2IFC,SC,,left,True,0.0820751003921032,False,,,,True,0.049999999999999996,,,
31,WM_probe,SC,,2,False,1.9166902005672455,False,,,,False,,3.0,0.0,1.0
32,2IFC,CC,,left,True,0.3975788000971079,False,,,,True,0.03971641173621406,,,
32,WM_probe,CC,,2,True,1.3803800009191036,False,,,,True,,2.0,0.0,0.0
33,2IFC,SC,,left,True,0.191313698887825,False,,,,True,0.049999999999999996,,,
33,WM_probe,SC,,2,True,1.0419686008244753,False,,,,True,,2.0,0.0,0.0
34,2IFC,SC,,left,False,0.3308879006654024,False,,,,False,0.049999999999999996,,,
34,WM_probe,SC,,4,True,1.600595399737358,False,,,,True,,4.0,0.0,0.0
35,2IFC,SC,,right,True,0.1962461993098259,False,,,,True,0.06294627058970836,,,
35,WM_probe,SC,,4,True,1.442569900304079,False,,,,True,,4.0,0.0,0.0
36,2IFC,CI,,right,True,0.579662999138236,False,,,,True,0.025059361681363596,,,
36,WM_probe,CI,,2,True,0.8938972987234592,False,,,,True,,2.0,0.0,0.0
37,2IFC,CI,,right,True,0.4144388996064663,False,,,,True,0.025059361681363596,,,
37,WM_probe,CI,,1,True,1.0561884008347988,False,,,,True,,1.0,0.0,0.0
38,2IFC,SC,,left,True,0.49186369962990284,False,,,,True,0.06294627058970836,,,
38,WM_probe,SC,,4,False,1.9503499995917082,False,,,,False,,1.0,1.0,0.0
39,2IFC,CI,,left,True,0.5067990012466908,False,,,,True,0.025059361681363596,,,
39,WM_probe,CI,,3,True,1.4230436999350786,False,,,,True,,3.0,0.0,0.0
40,2IFC,CI,,left,True,0.4728926997631788,False,,,,True,0.019905358527674843,,,
40,WM_probe,CI,,3,True,2.252698801457882,False,,,,True,,3.0,0.0,0.0
41,2IFC,CC,,left,True,0.37924679927527905,False,,,,True,0.031547867224009644,,,
41,WM_probe,CC,,1,True,0.9563039988279343,False,,,,True,,1.0,0.0,0.0
42,2IFC,CI,,left,False,0.38903809897601604,False,,,,False,0.019905358527674843,,,
