Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
1,2IFC,CC,,left,True,0.7078065000241622,False,,,,True,0.049999999999999996,,,
1,WM_probe,CC,,3,True,1.479524499969557,False,,,,True,,3.0,0.0,0.0
2,2IFC,CC,,left,True,0.4637714000418782,False,,,,True,0.03971641173621406,,,
2,WM_probe,CC,,2,True,1.9294992999639362,False,,,,True,,2.0,0.0,0.0
3,2IFC,CI,,left,False,0.5200254999799654,False,,,,False,0.049999999999999996,,,
3,WM_probe,CI,,2,True,1.9239640000741929,False,,,,True,,2.0,0.0,0.0
4,2IFC,CI,,right,True,0.3869529999792576,False,,,,True,0.06294627058970836,,,
4,WM_probe,CI,,4,True,2.465529900044203,False,,,,True,,4.0,0.0,0.0
5,2IFC,CC,,left,True,0.6411174000240862,False,,,,True,0.031547867224009644,,,
5,WM_probe,CC,,3,False,2.118523299926892,False,,,,False,,2.0,0.0,0.0
6,2IFC,SC,,left,True,0.11605569999665022,False,,,,True,0.049999999999999996,,,
6,WM_probe,SC,,3,True,1.5674855000106618,False,,,,True,,3.0,0.0,0.0
7,2IFC,CI,,left,True,0.6215088000753894,False,,,,True,0.049999999999999996,,,
7,WM_probe,CI,,1,True,2.814257299993187,False,,,,True,,1.0,0.0,0.0
8,2IFC,CC,,left,True,0.3386494000442326,False,,,,True,0.025059361681363596,,,
8,WM_probe,CC,,3,False,2.2990887000923976,False,,,,False,,2.0,0.0,0.0
9,2IFC,SC,,left,True,0.2991904999362305,False,,,,True,0.03971641173621406,,,
9,WM_probe,SC,,4,True,1.6830149000743404,False,,,,True,,4.0,0.0,0.0
10,2IFC,SC,,left,True,0.35933320003096014,False,,,,True,0.031547867224009644,,,
10,WM_probe,SC,,2,True,1.6642284000990912,False,,,,True,,2.0,0.0,0.0
11,2IFC,CI,,left,True,0.328384599997662,False,,,,True,0.049999999999999996,,,
11,WM_probe,CI,,3,True,1.6633438999997452,False,,,,True,,3.0,0.0,0.0
12,2IFC,CC,,left,True,0.2916242000646889,False,,,,True,0.019905358527674843,,,
12,WM_probe,CC,,1,True,1.3121336000040174,False,,,,True,,1.0,0.0,0.0
13,2IFC,CC,,left,False,0.42063899990171194,False,,,,False,0.01581138830084188,,,
13,WM_probe,CC,,3,False,1.4118074999423698,False,,,,False,,4.0,0.0,0.0
14,2IFC,CI,,left,False,0.7178249000571668,False,,,,False,0.049999999999999996,,,
14,WM_probe,CI,,3,False,2.352311299997382,False,,,,False,,4.0,0.0,0.0
15,2IFC,CI,,left,True,0.37036619998980314,False,,,,True,0.06294627058970836,,,
15,WM_probe,CI,,4,True,2.177812699927017,False,,,,True,,4.0,0.0,0.0
16,2IFC,CC,,right,False,0.5659723000135273,False,,,,False,0.019905358527674843,,,
16,WM_probe,CC,,3,True,1.4278141000540927,False,,,,True,,3.0,0.0,0.0
17,2IFC,CI,,left,True,0.16530809993855655,False,,,,True,0.06294627058970836,,,
17,WM_probe,CI,,4,True,1.493904700037092,False,,,,True,,4.0,0.0,0.0
18,2IFC,CI,,left,True,0.11495570000261068,False,,,,True,0.06294627058970836,,,
18,WM_probe,CI,,3,False,2.055485300021246,False,,,,False,,2.0,0.0,0.0
19,2IFC,CC,,left,False,0.2943406000267714,False,,,,False,0.025059361681363596,,,
19,WM_probe,CC,,3,False,1.5919311000034213,False,,,,False,,1.0,0.0,0.0
20,2IFC,SC,,left,True,0.3852942999219522,False,,,,True,0.025059361681363596,,,
