Participant,Day,SessionBlock,Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
00212,2.0,5.0,1,2IFC,SC,,right,False,0.9467227000277489,False,,,,False,0.049999999999999996,,,
,,,1,WM_probe,SC,,4,True,1.5681946999393404,False,,,,True,,4.0,0.0,0.0
00212,2.0,5.0,2,2IFC,SC,,left,True,0.18233489990234375,False,,,,True,0.06294627058970836,,,
,,,2,WM_probe,SC,,2,False,2.5248896998818964,False,,,,False,,3.0,1.0,0.0
00212,2.0,5.0,3,2IFC,CI,,right,True,0.3543317001312971,False,,,,True,0.049999999999999996,,,
,,,3,WM_probe,CI,,2,True,1.9510050001554191,False,,,,True,,2.0,0.0,0.0
00212,2.0,5.0,4,2IFC,CC,,right,True,0.3746893999632448,False,,,,True,0.049999999999999996,,,
,,,4,WM_probe,CC,,2,True,1.3585077000316232,False,,,,True,,2.0,0.0,0.0
00212,2.0,5.0,5,2IFC,SC,,right,True,0.2798909000121057,False,,,,True,0.049999999999999996,,,
,,,5,WM_probe,SC,,3,True,1.777692100033164,False,,,,True,,3.0,0.0,0.0
00212,2.0,5.0,6,2IFC,CI,,right,False,0.36702310014516115,False,,,,False,0.03971641173621406,,,
,,,6,WM_probe,CI,,2,False,1.5768332998268306,False,,,,False,,1.0,0.0,0.0
00212,2.0,5.0,7,2IFC,CI,,right,True,0.4900781998876482,False,,,,True,0.049999999999999996,,,
,,,7,WM_probe,CI,,1,True,1.4469059000257403,False,,,,True,,1.0,0.0,0.0
00212,2.0,5.0,8,2IFC,SC,,left,True,0.22517059999518096,False,,,,True,0.049999999999999996,,,
,,,8,WM_probe,SC,,1,False,2.2894185001496226,False,,,,False,,4.0,0.0,1.0
00212,2.0,5.0,9,2IFC,SC,,right,False,0.4930896998848766,False,,,,False,0.049999999999999996,,,
,,,9,WM_probe,SC,,4,True,2.5918342999648303,False,,,,True,,4.0,0.0,0.0
00212,2.0,5.0,10,2IFC,SC,,right,False,0.44369220011867583,False,,,,False,0.06294627058970836,,,
,,,10,WM_probe,SC,,2,True,1.118862999835983,False,,,,True,,2.0,0.0,0.0
00212,2.0,5.0,11,2IFC,SC,,left,True,0.43048690003342927,False,,,,True,0.0792446596230557,,,
,,,11,WM_probe,SC,,2,True,1.6274876000825316,False,,,,True,,2.0,0.0,0.0
00212,2.0,5.0,12,2IFC,CI,,right,False,0.5215104999952018,False,,,,False,0.049999999999999996,,,
,,,12,WM_probe,CI,,3,False,2.4062852000351995,False,,,,False,,4.0,0.0,0.0
00212,2.0,5.0,13,2IFC,SC,,left,True,0.47462740004993975,False,,,,True,0.0792446596230557,,,
,,,13,WM_probe,SC,,4,True,1.690825000172481,False,,,,True,,4.0,0.0,0.0
00212,2.0,5.0,14,2IFC,CI,,right,True,0.3376956998836249,False,,,,True,0.06294627058970836,,,
,,,14,WM_probe,CI,,4,True,1.5209478000178933,False,,,,True,,4.0,0.0,0.0
00212,2.0,5.0,15,2IFC,CC,,left,True,0.305014600045979,False,,,,True,0.03971641173621406,,,
,,,15,WM_probe,CC,,4,True,1.708436399931088,False,,,,True,,4.0,0.0,0.0
