Participant,Day,SessionBlock,Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
00217,2.0,5.0,1,2IFC,CI,,left,False,0.5231818999163806,False,,,,False,0.049999999999999996,,,
,,,1,WM_probe,CI,,3,False,1.9570186003111303,False,,,,False,,1.0,0.0,0.0
00217,2.0,5.0,2,2IFC,SC,,left,True,0.6472418000921607,False,,,,True,0.049999999999999996,,,
,,,2,WM_probe,SC,,3,True,2.2678557001054287,False,,,,True,,3.0,0.0,0.0
00217,2.0,5.0,3,2IFC,SC,,right,True,0.3332707998342812,False,,,,True,0.03971641173621406,,,
,,,3,WM_probe,SC,,2,True,2.187930400017649,False,,,,True,,2.0,0.0,0.0
00217,2.0,5.0,4,2IFC,CI,,right,False,0.3599486001767218,False,,,,False,0.06294627058970836,,,
,,,4,WM_probe,CI,,4,False,1.6721808002330363,False,,,,False,,1.0,0.0,0.0
00217,2.0,5.0,5,2IFC,SC,,left,True,0.38361300015822053,False,,,,True,0.031547867224009644,,,
,,,5,WM_probe,SC,,1,True,1.642515600193292,False,,,,True,,1.0,0.0,0.0
00217,2.0,5.0,6,2IFC,CI,,right,True,0.48690810007974505,False,,,,True,0.0792446596230557,,,
,,,6,WM_probe,CI,,1,True,1.9535407000221312,False,,,,True,,1.0,0.0,0.0
00217,2.0,5.0,7,2IFC,CI,,left,True,0.2514174999669194,False,,,,True,0.06294627058970836,,,
,,,7,WM_probe,CI,,1,False,2.11908040009439,False,,,,False,,2.0,0.0,0.0
00217,2.0,5.0,8,2IFC,CI,,right,True,0.2828611000441015,False,,,,True,0.06294627058970836,,,
,,,8,WM_probe,CI,,4,False,2.263159000314772,False,,,,False,,3.0,0.0,0.0
00217,2.0,5.0,9,2IFC,CC,,right,True,0.44976320024579763,False,,,,True,0.049999999999999996,,,
,,,9,WM_probe,CC,,1,True,2.3528485000133514,False,,,,True,,1.0,0.0,0.0
00217,2.0,5.0,10,2IFC,CC,,left,True,0.32051500026136637,False,,,,True,0.03971641173621406,,,
,,,10,WM_probe,CC,,3,True,1.6099820998497307,False,,,,True,,3.0,0.0,0.0
00217,2.0,5.0,11,2IFC,CC,,right,True,0.15973499976098537,False,,,,True,0.031547867224009644,,,
,,,11,WM_probe,CC,,2,True,1.7488274001516402,False,,,,True,,2.0,0.0,0.0
00217,2.0,5.0,12,2IFC,SC,,left,True,0.36991649959236383,False,,,,True,0.025059361681363596,,,
,,,12,WM_probe,SC,,3,False,1.648678899742663,False,,,,False,,1.0,1.0,0.0
00217,2.0,5.0,13,2IFC,CC,,right,True,0.2426499999128282,False,,,,True,0.025059361681363596,,,
,,,13,WM_probe,CC,,3,True,1.8342423001304269,False,,,,True,,3.0,0.0,0.0
00217,2.0,5.0,14,2IFC,CC,,left,True,0.2711553000845015,False,,,,True,0.019905358527674843,,,
,,,14,WM_probe,CC,,3,True,1.5735255000181496,False,,,,True,,3.0,0.0,0.0
00217,2.0,5.0,15,2IFC,SC,,left,True,0.335455899592489,False,,,,True,0.019905358527674843,,,
,,,15,WM_probe,SC,,4,False,2.092995199840516,False,,,,False,,3.0,1.0,0.0
00217,2.0,5.0,16,2IFC,SC,,left,True,0.2495546001009643,False,,,,True,0.01581138830084188,,,
,,,16,WM_probe,SC,,1,True,1.9205506001599133,False,,,,True,,1.0,0.0,0.0
