Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
1,2IFC,SC,,no_response,False,,True,,,,False,0.049999999999999996,,,
1,WM_probe,SC,,no_response,False,,True,,,,False,,3.0,0.0,0.0
2,2IFC,CC,,no_response,False,,True,right,0.5654358000028878,False,False,0.049999999999999996,,,
2,WM_probe,CC,,no_response,False,,True,,,,False,,2.0,0.0,0.0
3,2IFC,SC,,right,False,0.9122833998408169,False,,,,False,0.06294627058970836,,,
3,WM_probe,SC,,1,False,1.2734872000291944,False,,,,False,,2.0,0.0,0.0
4,2IFC,SC,,no_response,False,,True,right,0.9027221000287682,True,True,0.0792446596230557,,,
4,WM_probe,SC,,3,False,0.2714015000965446,False,,,,False,,4.0,0.0,0.0
5,2IFC,CI,,right,True,0.8039091001264751,False,,,,True,0.049999999999999996,,,
5,WM_probe,CI,,3,False,1.8305290001444519,False,,,,False,,1.0,0.0,0.0
6,2IFC,SC,,no_response,False,,True,right,0.00043340004049241543,True,True,0.09976311574844403,,,
6,WM_probe,SC,,no_response,False,,True,,,,False,,1.0,0.0,0.0
7,2IFC,CI,,no_response,False,,True,right,0.00032139988616108894,False,False,0.03971641173621406,,,
7,WM_probe,CI,,3,False,0.37174800015054643,False,,,,False,,4.0,0.0,0.0
8,2IFC,CI,,right,False,0.20081740012392402,False,,,,False,0.049999999999999996,,,
8,WM_probe,CI,,2,False,0.8162851000670344,False,,,,False,,4.0,0.0,0.0
9,2IFC,SC,,left,True,0.44941410003229976,False,,,,True,0.12559432157547906,,,
9,WM_probe,SC,,4,False,1.6306821999605745,False,,,,False,,2.0,0.0,0.0
10,2IFC,CC,,no_response,False,,True,right,0.00032350001856684685,False,False,0.06294627058970836,,,
10,WM_probe,CC,,4,True,1.0940702999942005,False,,,,True,,4.0,0.0,0.0
11,2IFC,CC,,left,True,0.620230000000447,False,,,,True,0.0792446596230557,,,
11,WM_probe,CC,,3,True,2.7068185000680387,False,,,,True,,3.0,0.0,0.0
12,2IFC,CC,,left,True,0.7478430999908596,False,,,,True,0.06294627058970836,,,
12,WM_probe,CC,,2,True,2.391794899944216,False,,,,True,,2.0,0.0,0.0
13,2IFC,CC,,no_response,False,,True,right,0.0001797000877559185,True,True,0.06294627058970836,,,
13,WM_probe,CC,,4,False,1.9869770999066532,False,,,,False,,3.0,0.0,0.0
