Experiment,Subject,Condition,meta_da,da,M_ratio
Experiment 1,00139,SC,1.038,2.31,0.44935064935064933
Experiment 1,00139,CC,1.097,2.311,0.4746862829943747
Experiment 1,00139,CI,1.103,1.815,0.6077134986225895
Experiment 1,00173,SC,0.945,1.549,0.6100710135571337
Experiment 1,00173,CC,1.498,1.344,1.1145833333333333
Experiment 1,00173,CI,2.461,1.278,1.9256651017214397
Experiment 1,00210,SC,1.889,1.298,1.455315870570108
Experiment 1,00210,CC,2.263,1.41,1.6049645390070921
Experiment 1,00210,CI,1.439,1.416,1.0162429378531075
Experiment 1,00212,SC,0.921,1.473,0.6252545824847251
Experiment 1,00212,CC,1.366,1.17,1.1675213675213676
Experiment 1,00212,CI,1.278,1.224,1.0441176470588236
Experiment 1,00216,SC,1.191,1.546,0.7703751617076326
Experiment 1,00216,CC,1.313,1.416,0.9272598870056498
Experiment 1,00216,CI,1.131,1.613,0.7011779293242405
Experiment 1,00217,SC,1.172,1.356,0.8643067846607668
Experiment 1,00217,CC,1.013,1.358,0.7459499263622974
Experiment 1,00217,CI,1.027,1.442,0.7122052704576977
Experiment 1,00218,SC,1.312,1.43,0.9174825174825175
Experiment 1,00218,CC,0.782,1.675,0.46686567164179105
Experiment 1,00218,CI,1.156,1.06,1.0905660377358488
Experiment 1,00219,SC,1.112,1.702,0.6533490011750882
Experiment 1,00219,CC,1.023,1.753,0.5835710211066742
Experiment 1,00219,CI,1.282,1.587,0.8078134845620668
Experiment 1,00220,SC,1.126,1.139,0.9885864793678665
Experiment 1,00220,CC,0.835,1.297,0.643793369313801
Experiment 1,00220,CI,1.183,1.601,0.7389131792629607
Experiment 1,00222,SC,0.736,1.463,0.5030758714969241
Experiment 1,00222,CC,1.096,1.479,0.7410412440838404
Experiment 1,00222,CI,1.04,1.645,0.6322188449848024
Experiment 1,00223,SC,1.208,1.468,0.8228882833787465
Experiment 1,00223,CC,1.679,1.634,1.0275397796817627
Experiment 1,00223,CI,1.151,1.497,0.7688710754843019
Experiment 1,00224,SC,1.645,1.734,0.9486735870818916
Experiment 1,00224,CC,1.803,1.614,1.1171003717472119
Experiment 1,00224,CI,1.163,1.74,0.6683908045977012
Experiment 1,00225,SC,0.938,1.593,0.588826114249843
Experiment 1,00225,CC,1.307,1.823,0.7169500822819528
Experiment 1,00225,CI,1.002,1.484,0.6752021563342319
Experiment 1,00226,SC,1.069,1.554,0.6879021879021878
Experiment 1,00226,CC,0.955,2.038,0.4685966633954858
Experiment 1,00226,CI,0.849,1.783,0.47616376892877177
Experiment 1,00227,SC,0.647,1.687,0.38352104327208064
Experiment 1,00227,CC,2.38,2.076,1.1464354527938343
Experiment 1,00227,CI,1.385,1.323,1.0468631897203327
Experiment 1,00228,SC,0.785,1.612,0.4869727047146402
Experiment 1,00228,CC,0.985,1.432,0.6878491620111732
Experiment 1,00228,CI,1.065,1.436,0.7416434540389972
Experiment 2,000087,SC,0.735,1.418,0.5183356840620592
Experiment 2,000087,CC,0.973,1.381,0.7045619116582187
Experiment 2,000087,CI,0.642,1.392,0.4612068965517242
Experiment 2,00024,SC,0.768,1.592,0.4824120603015075
Experiment 2,00024,CC,0.903,1.612,0.5601736972704714
Experiment 2,00024,CI,0.955,1.661,0.5749548464780253
Experiment 2,00030,SC,1.099,1.843,0.5963103635377103
Experiment 2,00030,CC,1.145,1.4,0.817857142857143
Experiment 2,00030,CI,1.05,1.222,0.8592471358428806
Experiment 2,00074,SC,1.092,1.69,0.6461538461538462
Experiment 2,00074,CC,1.035,2.098,0.49332697807435655
Experiment 2,00074,CI,1.019,1.285,0.7929961089494163
Experiment 2,00081,SC,0.82,1.148,0.7142857142857143
Experiment 2,00081,CC,0.938,1.206,0.7777777777777778
Experiment 2,00081,CI,0.753,1.319,0.5708870356330553
Experiment 2,00089,SC,0.762,1.499,0.5083388925950634
Experiment 2,00089,CC,0.872,1.553,0.5614938828074695
Experiment 2,00089,CI,1.027,1.437,0.7146833681280444
Experiment 2,00091,SC,1.203,1.329,0.9051918735891649
Experiment 2,00091,CC,1.039,1.698,0.6118963486454653
Experiment 2,00091,CI,0.961,1.525,0.6301639344262295
Experiment 2,00093,SC,1.119,1.545,0.7242718446601942
Experiment 2,00093,CC,0.873,2.186,0.39935956084172003
Experiment 2,00093,CI,1.182,1.79,0.6603351955307262
Experiment 2,00094,SC,1.047,1.644,0.6368613138686131
Experiment 2,00094,CC,1.27,1.594,0.7967377666248431
Experiment 2,00094,CI,0.999,1.257,0.7947494033412889
Experiment 2,00096,SC,0.958,1.171,0.8181041844577284
Experiment 2,00096,CC,0.901,1.497,0.6018704074816299
Experiment 2,00096,CI,0.845,1.226,0.6892332789559543
Experiment 2,00097,SC,0.76,1.505,0.504983388704319
Experiment 2,00097,CC,0.775,1.581,0.4901960784313726
Experiment 2,00097,CI,0.839,1.375,0.6101818181818182
