Experiment,Measure,Condition,mean,SD,N,SEM
Experiment 1,M-ratio,SC,0.7347469907783001,0.2666026820975096,16,0.0666506705243774
Experiment 1,M-ratio,CC,0.8521692596426026,0.32153240961223045,16,0.08038310240305761
Experiment 1,M-ratio,CI,0.8533605237929947,0.336830298298804,16,0.084207574574701
Experiment 1,Meta-dₐ,SC,1.1083749999999999,0.31763309546288354,16,0.07940827386572089
Experiment 1,Meta-dₐ,CC,1.3371875,0.48005502722778215,16,0.12001375680694554
Experiment 1,Meta-dₐ,CI,1.2321875,0.3590749631576485,16,0.08976874078941212
Experiment 2,M-ratio,SC,0.7024707527650862,0.24611123130395982,16,0.061527807825989954
Experiment 2,M-ratio,CC,0.637613714150699,0.16819527459549122,16,0.042048818648872804
Experiment 2,M-ratio,CI,0.6802349943645074,0.1571344182904377,16,0.039283604572609425
Experiment 2,Meta-dₐ,SC,1.046875,0.2961699680926478,16,0.07404249202316195
Experiment 2,Meta-dₐ,CC,0.9841875,0.1722320987311405,16,0.04305802468278513
Experiment 2,Meta-dₐ,CI,0.963125,0.16764401768827503,16,0.04191100442206876
Preliminary Experiment,M-ratio,SC,0.6538928048406603,0.24516103452889493,16,0.06129025863222373
Preliminary Experiment,M-ratio,CC,0.6119907409033041,0.13292200384237407,16,0.03323050096059352
Preliminary Experiment,M-ratio,CI,0.8068579550071566,0.2939074931292928,16,0.0734768732823232
Preliminary Experiment,Meta-dₐ,SC,1.0885,0.2717003251132885,16,0.06792508127832213
Preliminary Experiment,Meta-dₐ,CC,1.0450625,0.20215521058500235,16,0.05053880264625059
Preliminary Experiment,Meta-dₐ,CI,1.329125,0.3970455683335773,16,0.09926139208339432
