Category,Type,mean,std,count,sem,Experiment,Measure,Task
SC,After 2IFC,63.73106060606061,11.96478574890537,16,2.9911964372263427,Experiment 1,WM_accuracy,
SC,After YN,66.95075757575758,11.62123846019166,16,2.905309615047915,Experiment 1,WM_accuracy,
CC,After 2IFC,64.80429292929293,12.394120159814962,16,3.0985300399537405,Experiment 1,WM_accuracy,
CC,After YN,64.17297979797979,11.226018550704667,16,2.806504637676167,Experiment 1,WM_accuracy,
CI,After 2IFC,65.05681818181819,13.56223616910103,16,3.3905590422752576,Experiment 1,WM_accuracy,
CI,After YN,67.14015151515152,14.616210189816417,16,3.6540525474541043,Experiment 1,WM_accuracy,
SC,,78.97727272727273,2.1654439189032426,16,0.5413609797258107,Experiment 1,Perception_accuracy,2IFC
SC,,67.23484848484848,5.743307383620644,16,1.435826845905161,Experiment 1,Perception_accuracy,YN
CC,,79.64015151515152,3.0953663313462774,16,0.7738415828365693,Experiment 1,Perception_accuracy,2IFC
CC,,63.25757575757576,4.287479210263015,16,1.0718698025657538,Experiment 1,Perception_accuracy,YN
CI,,78.31439393939394,2.456773524233057,16,0.6141933810582643,Experiment 1,Perception_accuracy,2IFC
CI,,56.4709595959596,4.20627031080486,16,1.051567577701215,Experiment 1,Perception_accuracy,YN
SC,After 2IFC,63.150252525252526,13.62337422244985,16,3.4058435556124627,Experiment 2,WM_accuracy,
SC,After YN,67.62626262626263,15.235368413737469,16,3.808842103434367,Experiment 2,WM_accuracy,
CC,After 2IFC,63.33333333333333,15.32919388902155,16,3.8322984722553874,Experiment 2,WM_accuracy,
CC,After YN,67.16540404040404,15.515250979531762,16,3.8788127448829406,Experiment 2,WM_accuracy,
CI,After 2IFC,64.80429292929293,15.050978174833615,16,3.7627445437084037,Experiment 2,WM_accuracy,
CI,After YN,68.65530303030303,16.48092474718563,16,4.120231186796407,Experiment 2,WM_accuracy,
SC,,77.38636363636364,3.489139991626672,16,0.872284997906668,Experiment 2,Perception_accuracy,2IFC
SC,,64.8989898989899,7.036086479063231,16,1.7590216197658077,Experiment 2,Perception_accuracy,YN
CC,,78.0239898989899,3.1946390726032985,16,0.7986597681508246,Experiment 2,Perception_accuracy,2IFC
CC,,65.53030303030303,5.530399119746985,16,1.3825997799367462,Experiment 2,Perception_accuracy,YN
CI,,76.1205808080808,3.17281172807496,16,0.79320293201874,Experiment 2,Perception_accuracy,2IFC
CI,,63.77840909090909,5.346517818199852,16,1.336629454549963,Experiment 2,Perception_accuracy,YN
SC,After 2IFC,64.35307161713759,10.116855330616165,16,2.529213832654041,Preliminary Experiment,WM_accuracy,
SC,After YN,68.38990635969563,10.693668282100813,16,2.673417070525203,Preliminary Experiment,WM_accuracy,
CC,After 2IFC,66.5591052208881,11.239769384807488,16,2.809942346201872,Preliminary Experiment,WM_accuracy,
CC,After YN,69.28651908522438,12.028210897194198,16,3.0070527242985494,Preliminary Experiment,WM_accuracy,
CI,After 2IFC,67.25082010228954,13.418717569843162,16,3.3546793924607905,Preliminary Experiment,WM_accuracy,
CI,After YN,70.7796186926241,11.416217778139979,16,2.8540544445349947,Preliminary Experiment,WM_accuracy,
SC,,80.24439543906956,2.281798801726005,16,0.5704497004315012,Preliminary Experiment,Perception_accuracy,2IFC
SC,,65.1539575544107,8.473402278178503,16,2.1183505695446256,Preliminary Experiment,Perception_accuracy,YN
CC,,80.05883731827458,2.932086040868628,16,0.733021510217157,Preliminary Experiment,Perception_accuracy,2IFC
CC,,64.54257401935548,9.40222006706528,16,2.35055501676632,Preliminary Experiment,Perception_accuracy,YN
CI,,79.77852915623528,3.67405759659233,16,0.9185143991480825,Preliminary Experiment,Perception_accuracy,2IFC
CI,,57.662509936015155,6.762242387994837,16,1.6905605969987092,Preliminary Experiment,Perception_accuracy,YN
