Contrast,Phase,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Phase,-,After 2IFC,After YN,True,True,-1.3004221436868686,15.0,two-sided,0.21308234920271638,,,0.522,-0.12716414147042973
Category,-,SC,CC,True,True,1.0804610951218696,15.0,two-sided,0.2970033361136591,0.8910100083409773,bonf,0.422,0.07352142317608323
Category,-,SC,CI,True,True,-0.40393890811189487,15.0,two-sided,0.6919579492747127,1.0,bonf,0.275,-0.058363794591254216
Category,-,CC,CI,True,True,-0.9505159316508923,15.0,two-sided,0.3569152716089843,1.0,bonf,0.378,-0.1241114600121494
Phase * Category,After 2IFC,SC,CC,True,True,-1.1253590331754206,15.0,two-sided,0.2781217548012786,1.0,bonf,0.439,-0.08588346200562695
Phase * Category,After 2IFC,SC,CI,True,True,-0.6093572896776582,15.0,two-sided,0.5514064894460556,1.0,bonf,0.301,-0.10105464453697587
Phase * Category,After 2IFC,CC,CI,True,True,-0.13858624017812793,15.0,two-sided,0.8916205380125002,1.0,bonf,0.258,-0.018947973619730295
Phase * Category,After YN,SC,CC,True,True,2.155895944600216,15.0,two-sided,0.04773817287279515,0.28642903723677093,bonf,1.558,0.23699516595178913
Phase * Category,After YN,SC,CI,True,True,-0.09158437663089955,15.0,two-sided,0.9282401627182044,1.0,bonf,0.256,-0.01398216297290392
Phase * Category,After YN,CC,CI,True,True,-1.4963297214562028,15.0,two-sided,0.15531057370160928,0.9318634422096557,bonf,0.648,-0.22194653144449908
