Contrast,Task,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Task,-,2IFC,YN,True,True,15.774623109154593,15.0,two-sided,9.516755230581057e-11,,,8.678e+07,6.419010712897424
Category,-,SC,CC,True,True,2.428933545647113,15.0,two-sided,0.028182714072562672,0.08454814221768801,bonf,2.359,0.6986784905037636
Category,-,SC,CI,True,True,8.01638670880125,15.0,two-sided,8.396561364218853e-07,2.518968409265656e-06,bonf,2.067e+04,2.4151176334626725
Category,-,CC,CI,True,True,5.192113438479746,15.0,two-sided,0.00010939199049395126,0.0003281759714818538,bonf,263.476,2.0844736153677133
Task * Category,2IFC,SC,CC,True,True,-0.9228652043498908,15.0,two-sided,0.37068454365524817,1.0,bonf,0.37,-0.2419031168433447
Task * Category,2IFC,SC,CI,True,True,1.0971880677672998,15.0,two-sided,0.2898610237384507,1.0,bonf,0.428,0.27903832449782423
Task * Category,2IFC,CC,CI,True,True,1.7906689797546975,15.0,two-sided,0.09354512309390886,0.5612707385634532,bonf,0.935,0.4624778490600984
Task * Category,YN,SC,CC,True,True,2.3479800816727225,15.0,two-sided,0.03300751609169826,0.19804509655018956,bonf,2.081,0.7650059721790308
Task * Category,YN,SC,CI,True,True,6.8704773221667645,15.0,two-sided,5.319228605831147e-06,3.1915371634986885e-05,bonf,3899.418,2.084415323158426
Task * Category,YN,CC,CI,True,True,4.051606652406602,15.0,two-sided,0.0010438857832587955,0.006263314699552773,bonf,36.871,1.5576684076766165
