Contrast,Task,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Task,-,2IFC,YN,True,True,5.417240394101456,15.0,two-sided,7.132886916983896e-05,,,384.368,1.808082303070866
Condition,-,SC,CC,True,True,1.3040646640092193,15.0,two-sided,0.21186903397697954,0.6356071019309386,bonf,0.524,0.31823174008115834
Condition,-,SC,CI,True,True,4.983868301600387,15.0,two-sided,0.00016340062711220167,0.000490201881336605,bonf,185.093,1.3355143771752624
Condition,-,CC,CI,True,True,2.2481184331788873,15.0,two-sided,0.040032420913732436,0.12009726274119731,bonf,1.788,0.7425370648060543
Task * Condition,2IFC,SC,CC,True,True,-1.0514466717455058,15.0,two-sided,0.30969833436601485,1.0,bonf,0.411,-0.19420363868422547
Task * Condition,2IFC,SC,CI,True,True,0.9522216642441393,15.0,two-sided,0.3560776335962995,1.0,bonf,0.378,0.25459623385101743
Task * Condition,2IFC,CC,CI,True,True,1.5521036749684678,15.0,two-sided,0.1414777809688776,0.8488666858132655,bonf,0.692,0.4274453280263665
Task * Condition,YN,SC,CC,True,True,1.7735093981727397,15.0,two-sided,0.09644245129934775,0.5786547077960865,bonf,0.914,0.4817655176776334
Task * Condition,YN,SC,CI,True,True,4.914865219276651,15.0,two-sided,0.0001868545321162644,0.0011211271926975864,bonf,164.533,1.4498485343473542
Task * Condition,YN,CC,CI,True,True,1.8169987177701665,15.0,two-sided,0.08924898141938588,0.5354938885163153,bonf,0.968,0.6287734127684849
