Contrast,Measure,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Measure,-,HR,FAR,True,True,12.470520945583054,15.0,two-sided,2.5509901019535753e-09,,,4.161e+06,2.0687605534816944
Condition,-,SC,CC,True,True,-0.5127876356139005,15.0,two-sided,0.6155681613478361,1.0,bonf,0.287,-0.07429402591632203
Condition,-,SC,CI,True,True,0.3558351827294177,15.0,two-sided,0.7269188332295513,1.0,bonf,0.27,0.06644829864468942
Condition,-,CC,CI,True,True,0.9618674753538902,15.0,two-sided,0.35136657033612084,1.0,bonf,0.381,0.15091361933542058
Measure * Condition,HR,SC,CC,True,True,-0.4882816475086282,15.0,two-sided,0.6324112136223103,1.0,bonf,0.284,-0.08594644361244638
Measure * Condition,HR,SC,CI,True,True,0.4738460016505396,15.0,two-sided,0.6424330398701248,1.0,bonf,0.282,0.10273460897613554
Measure * Condition,HR,CC,CI,True,True,1.048211247763452,15.0,two-sided,0.31113812552137043,1.0,bonf,0.41,0.2087841571661049
Measure * Condition,FAR,SC,CC,True,True,-0.3836496914292615,15.0,two-sided,0.7066212456064017,1.0,bonf,0.273,-0.0434525034054713
Measure * Condition,FAR,SC,CI,True,True,-0.02214105551495958,15.0,two-sided,0.9826272877338385,1.0,bonf,0.255,-0.0031425289533262707
Measure * Condition,FAR,CC,CI,True,True,0.348517734374438,15.0,two-sided,0.7322947950675488,1.0,bonf,0.27,0.0395059198006458
