Contrast,Task,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Task,-,2IFC,YN,True,True,8.084089612417172,15.0,two-sided,7.568672522175656e-07,,,2.271e+04,3.1186215306254854
Category,-,SC,CC,True,True,0.4913919807936851,15.0,two-sided,0.6302615132037839,1.0,bonf,0.284,0.09394547714616004
Category,-,SC,CI,True,True,4.555886220984241,15.0,two-sided,0.00037873908339001983,0.0011362172501700595,bonf,88.714,1.0911493094026397
Category,-,CC,CI,True,True,4.324751078114373,15.0,two-sided,0.0006011337193356893,0.001803401158007068,bonf,59.384,0.8917800368227843
Task * Category,2IFC,SC,CC,True,True,0.2673135898649571,15.0,two-sided,0.7928681425466243,1.0,bonf,0.264,0.06885059461873368
Task * Category,2IFC,SC,CI,True,True,0.5715302878027212,15.0,two-sided,0.5761048225368273,1.0,bonf,0.295,0.1484926330506063
Task * Category,2IFC,CC,CI,True,True,0.35625120193333276,15.0,two-sided,0.7266136352047587,1.0,bonf,0.27,0.08220658956414774
Task * Category,YN,SC,CC,True,True,0.3971096626524612,15.0,two-sided,0.6968796979298231,1.0,bonf,0.274,0.06658986242732282
Task * Category,YN,SC,CI,True,True,4.233651603058029,15.0,two-sided,0.0007221473538742571,0.004332884123245543,bonf,50.667,0.9526292892171729
Task * Category,YN,CC,CI,True,True,4.336746796635667,15.0,two-sided,0.0005868207435501466,0.00352092446130088,bonf,60.638,0.81894755429037
