Contrast,Measure,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Measure,-,HR,FAR,True,True,6.805033526097165,15.0,two-sided,5.941798207234399e-06,,,3530.006,1.7386028192234646
Condition,-,SC,CC,True,True,0.8969345729225372,15.0,two-sided,0.38392366942876,1.0,bonf,0.362,0.0960234963105545
Condition,-,SC,CI,True,True,5.955849992093809,15.0,two-sided,2.6349547807922337e-05,7.9048643423767e-05,bonf,930.585,0.7460928612594359
Condition,-,CC,CI,True,True,6.186456628041544,15.0,two-sided,1.7411977437200747e-05,5.2235932311602245e-05,bonf,1346.758,0.7021539243164537
Measure * Condition,HR,SC,CC,True,True,0.7759467560488954,15.0,two-sided,0.44984248103576674,1.0,bonf,0.332,0.11332761066456004
Measure * Condition,HR,SC,CI,True,True,5.273065960499278,15.0,two-sided,9.3729667261863e-05,0.000562378003571178,bonf,301.952,0.9657074020360382
Measure * Condition,HR,CC,CI,True,True,5.715089009167901,15.0,two-sided,4.092583829286992e-05,0.00024555502975721953,bonf,628.967,0.8669000485240591
Measure * Condition,FAR,SC,CC,True,True,0.4391415187995061,15.0,two-sided,0.6668190297742952,1.0,bonf,0.278,0.03269472861038686
Measure * Condition,FAR,SC,CI,True,True,1.8982099676820674,15.0,two-sided,0.0770816147717723,0.46248968863063383,bonf,1.08,0.15492581303917288
Measure * Condition,FAR,CC,CI,True,True,2.3348237055847543,15.0,two-sided,0.03386174906698457,0.2031704944019074,bonf,2.039,0.13585611833539846
