Subject,Condition,Metric,Rate
00139,SC,HR,0.47
00139,CC,HR,0.46
00139,CI,HR,0.146
00173,SC,HR,0.255
00173,CC,HR,0.385
00173,CI,HR,0.145
00210,SC,HR,0.295
00210,CC,HR,0.335
00210,CI,HR,0.205
00212,SC,HR,0.562
00212,CC,HR,0.48
00212,CI,HR,0.46
00216,SC,HR,0.356
00216,CC,HR,0.215
00216,CI,HR,0.126
00217,SC,HR,0.545
00217,CC,HR,0.415
00217,CI,HR,0.305
00218,SC,HR,0.325
00218,CC,HR,0.245
00218,CI,HR,0.035
00219,SC,HR,0.405
00219,CC,HR,0.255
00219,CI,HR,0.125
00220,SC,HR,0.395
00220,CC,HR,0.399
00220,CI,HR,0.119
00222,SC,HR,0.585
00222,CC,HR,0.455
00222,CI,HR,0.115
00223,SC,HR,0.405
00223,CC,HR,0.305
00223,CI,HR,0.215
00224,SC,HR,0.145
00224,CC,HR,0.275
00224,CI,HR,0.025
00225,SC,HR,0.435
00225,CC,HR,0.465
00225,CI,HR,0.035
00226,SC,HR,0.495
00226,CC,HR,0.405
00226,CI,HR,0.298
00227,SC,HR,0.655
00227,CC,HR,0.187
00227,CI,HR,0.245
00228,SC,HR,0.465
00228,CC,HR,0.485
00228,CI,HR,0.335
00139,SC,FAR,0.136
00139,CC,FAR,0.151
00139,CI,FAR,0.056
00173,SC,FAR,0.045
00173,CC,FAR,0.065
00173,CI,FAR,0.035
00210,SC,FAR,0.055
00210,CC,FAR,0.145
00210,CI,FAR,0.005
00212,SC,FAR,0.217
00212,CC,FAR,0.255
00212,CI,FAR,0.187
00216,SC,FAR,0.045
00216,CC,FAR,0.056
00216,CI,FAR,0.015
00217,SC,FAR,0.135
00217,CC,FAR,0.125
00217,CI,FAR,0.115
00218,SC,FAR,0.015
00218,CC,FAR,0.015
00218,CI,FAR,0.005
00219,SC,FAR,0.075
00219,CC,FAR,0.045
00219,CI,FAR,0.015
00220,SC,FAR,0.015
00220,CC,FAR,0.025
00220,CI,FAR,0.015
00222,SC,FAR,0.055
00222,CC,FAR,0.025
00222,CI,FAR,0.066
00223,SC,FAR,0.005
00223,CC,FAR,0.015
00223,CI,FAR,0.005
00224,SC,FAR,0.045
00224,CC,FAR,0.055
00224,CI,FAR,0.005
00225,SC,FAR,0.115
00225,CC,FAR,0.115
00225,CI,FAR,0.025
00226,SC,FAR,0.075
00226,CC,FAR,0.105
00226,CI,FAR,0.045
00227,SC,FAR,0.076
00227,CC,FAR,0.095
00227,CI,FAR,0.075
00228,SC,FAR,0.155
00228,CC,FAR,0.195
00228,CI,FAR,0.145
