Subject,Condition,contrast
00139,CC,5.004709682556895
00139,CI,4.039793587950804
00139,SC,3.9001338857159653
00173,CC,4.582504928204452
00173,CI,5.926684571456894
00173,SC,4.731195428069716
00210,CC,3.298799082706306
00210,CI,4.410333457676985
00210,SC,3.5304685464864143
00212,CC,3.7311035746022
00212,CI,6.33671386538615
00212,SC,4.683936899423744
00216,CC,5.3671495264194204
00216,CI,5.408565299156442
00216,SC,4.915906963059732
00217,CC,2.879879014736701
00217,CI,4.022037086720558
00217,SC,3.1221759471368604
00218,CC,4.525811560113717
00218,CI,6.322678892980255
00218,SC,3.8220956079372206
00219,CC,2.1127769609394513
00219,CI,2.4331760450145676
00219,SC,2.1285638353302345
00220,CC,6.5696244755326205
00220,CI,6.4085178970919445
00220,SC,5.755218247068263
00222,CC,4.2608707053139705
00222,CI,4.70056775025021
00222,SC,4.953738799707716
00223,CC,5.351197352124841
00223,CI,6.531813611419588
00223,SC,4.584684288214056
00224,CC,3.06462743444016
00224,CI,3.67066074603933
00224,SC,2.78753479734896
00225,CC,2.7183157476401223
00225,CI,2.6238514932043633
00225,SC,2.6138105205276565
00226,CC,5.594845978114833
00226,CI,6.494424953773348
00226,SC,5.318160033342616
00227,CC,3.5369199397167774
00227,CI,5.615569790783025
00227,SC,4.246725899007073
00228,CC,2.1511334962630304
00228,CI,2.932150988715951
00228,SC,2.7969241137062557
