Contrast,Measure,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Measure,-,HR,FAR,True,True,17.03712595177951,15.0,two-sided,3.176233032504118e-11,,,2.398e+08,3.138616251806767
Condition,-,SC,CC,True,True,1.336131806829651,15.0,two-sided,0.20142381629585146,0.6042714488875544,bonf,0.542,0.3061953218863869
Condition,-,SC,CI,True,True,8.82163533895154,15.0,two-sided,2.531965071228729e-07,7.595895213686187e-07,bonf,6.147e+04,1.554028880512428
Condition,-,CC,CI,True,True,6.512576012152597,15.0,two-sided,9.813701357928592e-06,2.9441104073785775e-05,bonf,2249.821,1.3323689575375075
Measure * Condition,HR,SC,CC,True,True,1.8236470096227022,15.0,two-sided,0.08819225207859936,0.5291535124715961,bonf,0.976,0.5324328139334701
Measure * Condition,HR,SC,CI,True,True,8.168762849091,15.0,two-sided,6.652474594788349e-07,3.99148475687301e-06,bonf,2.553e+04,1.8564400598980508
Measure * Condition,HR,CC,CI,True,True,5.596461997870105,15.0,two-sided,5.0988564268735124e-05,0.00030593138561241077,bonf,517.468,1.546201860199626
Measure * Condition,FAR,SC,CC,True,True,-1.951406220386505,15.0,two-sided,0.06994010475080835,0.41964062850485007,bonf,1.162,-0.21259591954203919
Measure * Condition,FAR,SC,CI,True,True,3.8118076727150845,15.0,two-sided,0.001701655608123501,0.010209933648741006,bonf,24.249,0.4836344429590431
Measure * Condition,FAR,CC,CI,True,True,3.922139636279625,15.0,two-sided,0.0013584938329649833,0.0081509629977899,bonf,29.404,0.6558232590792955
