Subject,Phase,Category,Accuracy
00139,After 2IFC,CC,69.1919191919192
00139,After 2IFC,CI,65.15151515151516
00139,After 2IFC,SC,72.72727272727273
00139,After YN,CC,56.56565656565656
00139,After YN,CI,62.121212121212125
00139,After YN,SC,67.17171717171718
00173,After 2IFC,CC,60.1010101010101
00173,After 2IFC,CI,57.07070707070707
00173,After 2IFC,SC,63.13131313131313
00173,After YN,CC,64.14141414141415
00173,After YN,CI,60.60606060606061
00173,After YN,SC,61.111111111111114
00210,After 2IFC,CC,42.92929292929293
00210,After 2IFC,CI,37.878787878787875
00210,After 2IFC,SC,42.42424242424242
00210,After YN,CC,43.93939393939394
00210,After YN,CI,42.42424242424242
00210,After YN,SC,42.42424242424242
00212,After 2IFC,CC,86.36363636363636
00212,After 2IFC,CI,80.8080808080808
00212,After 2IFC,SC,82.82828282828282
00212,After YN,CC,75.75757575757575
00212,After YN,CI,80.3030303030303
00212,After YN,SC,77.27272727272727
00216,After 2IFC,CC,63.13131313131313
00216,After 2IFC,CI,49.494949494949495
00216,After 2IFC,SC,62.121212121212125
00216,After YN,CC,66.66666666666666
00216,After YN,CI,50.505050505050505
00216,After YN,SC,67.67676767676768
00217,After 2IFC,CC,79.29292929292929
00217,After 2IFC,CI,76.26262626262627
00217,After 2IFC,SC,75.75757575757575
00217,After YN,CC,70.2020202020202
00217,After YN,CI,75.25252525252525
00217,After YN,SC,79.29292929292929
00218,After 2IFC,CC,63.63636363636363
00218,After 2IFC,CI,67.67676767676768
00218,After 2IFC,SC,57.57575757575758
00218,After YN,CC,60.60606060606061
00218,After YN,CI,65.15151515151516
00218,After YN,SC,64.14141414141415
00219,After 2IFC,CC,75.75757575757575
00219,After 2IFC,CI,81.81818181818183
00219,After 2IFC,SC,73.73737373737373
00219,After YN,CC,81.31313131313132
00219,After YN,CI,90.40404040404042
00219,After YN,SC,79.29292929292929
00220,After 2IFC,CC,47.97979797979798
00220,After 2IFC,CI,44.44444444444444
00220,After 2IFC,SC,48.98989898989899
00220,After YN,CC,49.494949494949495
00220,After YN,CI,46.464646464646464
00220,After YN,SC,57.57575757575758
00222,After 2IFC,CC,58.58585858585859
00222,After 2IFC,CI,57.07070707070707
00222,After 2IFC,SC,53.535353535353536
00222,After YN,CC,52.02020202020202
00222,After YN,CI,49.494949494949495
00222,After YN,SC,50.0
00223,After 2IFC,CC,68.18181818181817
00223,After 2IFC,CI,78.78787878787878
00223,After 2IFC,SC,60.60606060606061
00223,After YN,CC,72.72727272727273
00223,After YN,CI,80.8080808080808
00223,After YN,SC,80.3030303030303
00224,After 2IFC,CC,52.52525252525253
00224,After 2IFC,CI,58.58585858585859
00224,After 2IFC,SC,59.09090909090909
00224,After YN,CC,56.56565656565656
00224,After YN,CI,72.22222222222221
00224,After YN,SC,61.61616161616161
00225,After 2IFC,CC,63.13131313131313
00225,After 2IFC,CI,64.14141414141415
00225,After 2IFC,SC,59.09090909090909
00225,After YN,CC,56.060606060606055
00225,After YN,CI,69.1919191919192
00225,After YN,SC,65.15151515151516
00226,After 2IFC,CC,52.52525252525253
00226,After 2IFC,CI,66.16161616161617
00226,After 2IFC,SC,53.03030303030303
00226,After YN,CC,66.16161616161617
00226,After YN,CI,63.63636363636363
00226,After YN,SC,64.14141414141415
00227,After 2IFC,CC,71.21212121212122
00227,After 2IFC,CI,79.7979797979798
00227,After 2IFC,SC,70.70707070707071
00227,After YN,CC,73.23232323232324
00227,After YN,CI,84.34343434343434
00227,After YN,SC,67.67676767676768
00228,After 2IFC,CC,82.32323232323232
00228,After 2IFC,CI,75.75757575757575
00228,After 2IFC,SC,84.34343434343434
00228,After YN,CC,81.31313131313132
00228,After YN,CI,81.31313131313132
00228,After YN,SC,86.36363636363636
