Subject,Condition,Task,da
00024,SC,2IFC,1.592
00024,SC,YN,1.828
00024,CC,2IFC,1.612
00024,CC,YN,1.147
00024,CI,2IFC,1.661
00024,CI,YN,1.229
00030,SC,2IFC,1.843
00030,SC,YN,0.989
00030,CC,2IFC,1.4
00030,CC,YN,0.701
00030,CI,2IFC,1.222
00030,CI,YN,0.582
00074,SC,2IFC,1.69
00074,SC,YN,0.717
00074,CC,2IFC,2.098
00074,CC,YN,1.168
00074,CI,2IFC,1.285
00074,CI,YN,0.923
00081,SC,2IFC,1.148
00081,SC,YN,0.641
00081,CC,2IFC,1.206
00081,CC,YN,0.634
00081,CI,2IFC,1.319
00081,CI,YN,0.574
000087,SC,2IFC,1.418
000087,SC,YN,0.066
000087,CC,2IFC,1.381
000087,CC,YN,1.654
000087,CI,2IFC,1.392
000087,CI,YN,-0.146
00089,SC,2IFC,1.499
00089,SC,YN,1.5
00089,CC,2IFC,1.553
00089,CC,YN,1.157
00089,CI,2IFC,1.437
00089,CI,YN,1.058
00091,SC,2IFC,1.329
00091,SC,YN,0.833
00091,CC,2IFC,1.698
00091,CC,YN,1.237
00091,CI,2IFC,1.525
00091,CI,YN,0.298
00093,SC,2IFC,1.545
00093,SC,YN,1.077
00093,CC,2IFC,2.186
00093,CC,YN,1.329
00093,CI,2IFC,1.79
00093,CI,YN,0.94
00094,SC,2IFC,1.644
00094,SC,YN,1.155
00094,CC,2IFC,1.594
00094,CC,YN,1.17
00094,CI,2IFC,1.257
00094,CI,YN,1.269
00096,SC,2IFC,1.171
00096,SC,YN,0.16
00096,CC,2IFC,1.497
00096,CC,YN,0.846
00096,CI,2IFC,1.226
00096,CI,YN,1.419
00097,SC,2IFC,1.505
00097,SC,YN,1.251
00097,CC,2IFC,1.581
00097,CC,YN,1.137
00097,CI,2IFC,1.375
00097,CI,YN,0.816
00098,SC,2IFC,1.308
00098,SC,YN,1.526
00098,CC,2IFC,1.278
00098,CC,YN,1.048
00098,CI,2IFC,1.204
00098,CI,YN,0.943
00099,SC,2IFC,1.914
00099,SC,YN,1.565
00099,CC,2IFC,1.512
00099,CC,YN,1.049
00099,CI,2IFC,1.465
00099,CI,YN,0.608
00100,SC,2IFC,1.434
00100,SC,YN,1.629
00100,CC,2IFC,1.443
00100,CC,YN,1.57
00100,CI,2IFC,1.305
00100,CI,YN,1.47
00102,SC,2IFC,1.819
00102,SC,YN,1.964
00102,CC,2IFC,1.754
00102,CC,YN,0.637
00102,CI,2IFC,1.665
00102,CI,YN,1.721
00105,SC,2IFC,1.527
00105,SC,YN,0.699
00105,CC,2IFC,1.601
00105,CC,YN,1.083
00105,CI,2IFC,2.143
00105,CI,YN,1.361
