Subject,Condition,da_yn,da_2ifc,da_ratio
00024,SC,1.828,1.592,1.1482412060301508
00024,CC,1.147,1.612,0.7115384615384615
00024,CI,1.229,1.661,0.7399157134256472
00030,SC,0.989,1.843,0.5366250678241997
00030,CC,0.701,1.4,0.5007142857142857
00030,CI,0.582,1.222,0.47626841243862517
00074,SC,0.717,1.69,0.4242603550295858
00074,CC,1.168,2.098,0.5567206863679695
00074,CI,0.923,1.285,0.7182879377431908
00081,SC,0.641,1.148,0.5583623693379791
00081,CC,0.634,1.206,0.5257048092868989
00081,CI,0.574,1.319,0.43517816527672476
000087,SC,0.066,1.418,0.04654442877291961
000087,CC,1.654,1.381,1.1976828385228095
000087,CI,-0.146,1.392,-0.10488505747126436
00089,SC,1.5,1.499,1.000667111407605
00089,CC,1.157,1.553,0.7450096587250483
00089,CI,1.058,1.437,0.7362560890744607
00091,SC,0.833,1.329,0.6267870579382995
00091,CC,1.237,1.698,0.7285041224970554
00091,CI,0.298,1.525,0.19540983606557377
00093,SC,1.077,1.545,0.6970873786407767
00093,CC,1.329,2.186,0.6079597438243367
00093,CI,0.94,1.79,0.5251396648044693
00094,SC,1.155,1.644,0.7025547445255474
00094,CC,1.17,1.594,0.7340025094102886
00094,CI,1.269,1.257,1.009546539379475
00096,SC,0.16,1.171,0.13663535439795046
00096,CC,0.846,1.497,0.565130260521042
00096,CI,1.419,1.226,1.1574225122349104
00097,SC,1.251,1.505,0.8312292358803987
00097,CC,1.137,1.581,0.7191650853889944
00097,CI,0.816,1.375,0.5934545454545455
00098,SC,1.526,1.308,1.1666666666666667
00098,CC,1.048,1.278,0.8200312989045384
00098,CI,0.943,1.204,0.7832225913621262
00099,SC,1.565,1.914,0.8176593521421107
00099,CC,1.049,1.512,0.6937830687830687
00099,CI,0.608,1.465,0.4150170648464164
00100,SC,1.629,1.434,1.1359832635983265
00100,CC,1.57,1.443,1.088011088011088
00100,CI,1.47,1.305,1.1264367816091954
00102,SC,1.964,1.819,1.079714128642111
00102,CC,0.637,1.754,0.36316989737742306
00102,CI,1.721,1.665,1.0336336336336336
00105,SC,0.699,1.527,0.4577603143418468
00105,CC,1.083,1.601,0.6764522173641474
00105,CI,1.361,2.143,0.6350909939337378
