Subject,Task,Category,Accuracy
00024,2IFC,CC,80.60606060606061
00024,2IFC,CI,78.78787878787878
00024,2IFC,SC,75.75757575757575
00024,YN,CC,70.9090909090909
00024,YN,CI,70.70707070707071
00024,YN,SC,74.24242424242425
00030,2IFC,CC,78.28282828282829
00030,2IFC,CI,74.24242424242425
00030,2IFC,SC,82.82828282828282
00030,YN,CC,64.64646464646465
00030,YN,CI,62.121212121212125
00030,YN,SC,70.70707070707071
00074,2IFC,CC,83.33333333333334
00074,2IFC,CI,73.73737373737373
00074,2IFC,SC,78.28282828282829
00074,YN,CC,72.22222222222221
00074,YN,CI,65.15151515151516
00074,YN,SC,63.63636363636363
00081,2IFC,CC,73.23232323232324
00081,2IFC,CI,73.48484848484848
00081,2IFC,SC,71.21212121212122
00081,YN,CC,59.09090909090909
00081,YN,CI,59.84848484848485
00081,YN,SC,57.57575757575758
000087,2IFC,CC,77.77777777777779
000087,2IFC,CI,71.71717171717171
000087,2IFC,SC,73.33333333333333
000087,YN,CC,66.66666666666666
000087,YN,CI,52.52525252525253
000087,YN,SC,52.121212121212125
00089,2IFC,CC,80.3030303030303
00089,2IFC,CI,77.27272727272727
00089,2IFC,SC,77.77777777777779
00089,YN,CC,67.17171717171718
00089,YN,CI,65.15151515151516
00089,YN,SC,68.18181818181817
00091,2IFC,CC,75.25252525252525
00091,2IFC,CI,76.26262626262627
00091,2IFC,SC,74.24242424242425
00091,YN,CC,65.15151515151516
00091,YN,CI,62.62626262626263
00091,YN,SC,68.18181818181817
00093,2IFC,CC,81.81818181818183
00093,2IFC,CI,80.8080808080808
00093,2IFC,SC,79.39393939393939
00093,YN,CC,69.1919191919192
00093,YN,CI,63.13131313131313
00093,YN,SC,63.030303030303024
00094,2IFC,CC,78.78787878787878
00094,2IFC,CI,73.73737373737373
00094,2IFC,SC,80.8080808080808
00094,YN,CC,70.2020202020202
00094,YN,CI,64.14141414141415
00094,YN,SC,69.6969696969697
00096,2IFC,CC,78.18181818181819
00096,2IFC,CI,72.22222222222221
00096,2IFC,SC,73.23232323232324
00096,YN,CC,53.333333333333336
00096,YN,CI,59.59595959595959
00096,YN,SC,52.52525252525253
00097,2IFC,CC,80.8080808080808
00097,2IFC,CI,76.76767676767676
00097,2IFC,SC,77.27272727272727
00097,YN,CC,72.22222222222221
00097,YN,CI,62.62626262626263
00097,YN,SC,76.26262626262627
00098,2IFC,CC,77.27272727272727
00098,2IFC,CI,73.23232323232324
00098,2IFC,SC,76.76767676767676
00098,YN,CC,63.13131313131313
00098,YN,CI,64.14141414141415
00098,YN,SC,70.2020202020202
00099,2IFC,CC,77.77777777777779
00099,2IFC,CI,78.28282828282829
00099,2IFC,SC,84.34343434343434
00099,YN,CC,62.121212121212125
00099,YN,CI,61.111111111111114
00099,YN,SC,58.58585858585859
00100,2IFC,CC,70.9090909090909
00100,2IFC,CI,75.25252525252525
00100,2IFC,SC,77.77777777777779
00100,YN,CC,58.18181818181818
00100,YN,CI,68.18181818181817
00100,YN,SC,63.63636363636363
00102,2IFC,CC,78.78787878787878
00102,2IFC,CI,80.3030303030303
00102,2IFC,SC,78.78787878787878
00102,YN,CC,63.030303030303024
00102,YN,CI,62.121212121212125
00102,YN,SC,66.16161616161617
00105,2IFC,CC,75.25252525252525
00105,2IFC,CI,81.81818181818183
00105,2IFC,SC,76.36363636363637
00105,YN,CC,71.21212121212122
00105,YN,CI,77.27272727272727
00105,YN,SC,63.63636363636363
