Subject,Condition,da_yn,da_2ifc,da_2ifc_scaled
00024,SC,1.828,1.592,1.1257139956489837
00024,CC,1.147,1.612,1.1398561312727147
00024,CI,1.229,1.661,1.1745043635508554
00030,SC,0.989,1.843,1.303197797726807
00030,CC,0.701,1.4,0.9899494936611664
00030,CI,0.582,1.222,0.864084486609961
00074,SC,0.717,1.69,1.1950104602052651
00074,CC,1.168,2.098,1.4835100269293766
00074,CI,0.923,1.285,0.9086322138247135
00081,SC,0.641,1.148,0.8117585848021565
00081,CC,0.634,1.206,0.8527707781109762
00081,CI,0.574,1.319,0.9326738443850561
000087,SC,0.066,1.418,1.0026774157225242
000087,CC,1.654,1.381,0.976514464818622
000087,CI,-0.146,1.392,0.984292639411674
00089,SC,1.5,1.499,1.0599530649986348
00089,CC,1.157,1.553,1.0981368311827082
00089,CI,1.058,1.437,1.0161124445650687
00091,SC,0.833,1.329,0.9397449121969216
00091,CC,1.237,1.698,1.2006673144547575
00091,CI,0.298,1.525,1.0783378413094848
00093,SC,1.077,1.545,1.0924799769332159
00093,CC,1.329,2.186,1.5457354236737928
00093,CI,0.94,1.79,1.26572113832392
00094,SC,1.155,1.644,1.162483548270684
00094,CC,1.17,1.594,1.1271282092113568
00094,CI,1.269,1.257,0.8888332239514901
00096,SC,0.16,1.171,0.8280220407694471
00096,CC,0.846,1.497,1.0585388514362617
00096,CI,1.419,1.226,0.8669129137347071
00097,SC,1.251,1.505,1.0641957056857538
00097,CC,1.137,1.581,1.1179358210559316
00097,CI,0.816,1.375,0.9722718241315028
00098,SC,1.526,1.308,0.9248956697920041
00098,CC,1.048,1.278,0.9036824663564077
00098,CI,0.943,1.204,0.8513565645486031
00099,SC,1.565,1.914,1.3534023791910519
00099,CC,1.049,1.512,1.0691454531540598
00099,CI,0.608,1.465,1.035911434438292
00100,SC,1.629,1.434,1.013991124221509
00100,CC,1.57,1.443,1.020355085252188
00100,CI,1.47,1.305,0.9227743494484444
00102,SC,1.964,1.819,1.28622723497833
00102,CC,0.637,1.754,1.2402652942012042
00102,CI,1.721,1.665,1.1773327906756015
00105,SC,0.699,1.527,1.079752054871858
00105,CC,1.083,1.601,1.1320779566796626
00105,CI,1.361,2.143,1.515329832082771
