Subject,Condition,HR,FAR
00024,SC,0.561,0.075
00024,CC,0.604,0.185
00024,CI,0.591,0.175
00030,SC,0.825,0.415
00030,CC,0.675,0.385
00030,CI,0.715,0.475
00074,SC,0.46,0.185
00074,CC,0.635,0.195
00074,CI,0.475,0.175
00081,SC,0.454,0.288
00081,CC,0.5,0.288
00081,CI,0.492,0.265
000087,SC,0.065,0.018
000087,CC,0.355,0.025
000087,CI,0.065,0.015
00089,SC,0.385,0.025
00089,CC,0.395,0.055
00089,CI,0.355,0.055
00091,SC,0.535,0.175
00091,CC,0.405,0.105
00091,CI,0.315,0.065
00093,SC,0.319,0.065
00093,CC,0.475,0.095
00093,CI,0.405,0.145
00094,SC,0.595,0.197
00094,CC,0.585,0.185
00094,CI,0.395,0.115
00096,SC,0.115,0.056
00096,CC,0.151,0.089
00096,CI,0.265,0.075
00097,SC,0.805,0.285
00097,CC,0.655,0.207
00097,CI,0.395,0.145
00098,SC,0.495,0.095
00098,CC,0.325,0.065
00098,CI,0.405,0.125
00099,SC,0.235,0.065
00099,CC,0.275,0.035
00099,CI,0.305,0.085
00100,SC,0.325,0.055
00100,CC,0.199,0.042
00100,CI,0.375,0.015
00102,SC,0.355,0.035
00102,CC,0.38,0.125
00102,CI,0.275,0.035
00105,SC,0.452,0.185
00105,CC,0.635,0.215
00105,CI,0.823,0.26
