Subject,Condition,Task,da
00003,SC,2IFC,1.495
00003,SC,YN,1.834
00003,CC,2IFC,1.444
00003,CC,YN,1.48
00003,CI,2IFC,1.776
00003,CI,YN,1.063
00038,SC,2IFC,1.598
00038,SC,YN,2.165
00038,CC,2IFC,2.099
00038,CC,YN,1.847
00038,CI,2IFC,1.912
00038,CI,YN,2.045
00051,SC,2IFC,1.274
00051,SC,YN,0.643
00051,CC,2IFC,1.839
00051,CC,YN,0.697
00051,CI,2IFC,1.932
00051,CI,YN,0.525
00052,SC,2IFC,1.955
00052,SC,YN,0.841
00052,CC,2IFC,2.065
00052,CC,YN,0.334
00052,CI,2IFC,1.941
00052,CI,YN,-0.458
00054,SC,2IFC,1.712
00054,SC,YN,2.013
00054,CC,2IFC,1.926
00054,CC,YN,1.687
00054,CI,2IFC,1.865
00054,CI,YN,-0.109
00060,SC,2IFC,2.378
00060,SC,YN,0.887
00060,CC,2IFC,1.897
00060,CC,YN,0.703
00060,CI,2IFC,2.149
00060,CI,YN,0.155
00061,SC,2IFC,1.839
00061,SC,YN,0.437
00061,CC,2IFC,1.765
00061,CC,YN,0.174
00061,CI,2IFC,1.676
00061,CI,YN,0.1
00068,SC,2IFC,1.856
00068,SC,YN,-0.581
00068,CC,2IFC,1.488
00068,CC,YN,1.207
00068,CI,2IFC,1.469
00068,CI,YN,0.508
00071,SC,2IFC,1.452
00071,SC,YN,1.063
00071,CC,2IFC,1.553
00071,CC,YN,1.085
00071,CI,2IFC,1.291
00071,CI,YN,0.194
00130,SC,2IFC,2.117
00130,SC,YN,2.052
00130,CC,2IFC,2.098
00130,CC,YN,1.912
00130,CI,2IFC,2.252
00130,CI,YN,1.712
00161,SC,2IFC,1.522
00161,SC,YN,1.734
00161,CC,2IFC,1.455
00161,CC,YN,1.207
00161,CI,2IFC,1.562
00161,CI,YN,1.865
00162,SC,2IFC,1.649
00162,SC,YN,1.194
00162,CC,2IFC,1.68
00162,CC,YN,1.767
00162,CI,2IFC,1.372
00162,CI,YN,1.264
00193,SC,2IFC,1.558
00193,SC,YN,1.596
00193,CC,2IFC,1.355
00193,CC,YN,1.949
00193,CI,2IFC,1.525
00193,CI,YN,1.575
00200,SC,2IFC,1.701
00200,SC,YN,0.444
00200,CC,2IFC,1.486
00200,CC,YN,1.651
00200,CI,2IFC,1.517
00200,CI,YN,0.34
00201,SC,2IFC,1.777
00201,SC,YN,1.87
00201,CC,2IFC,1.907
00201,CC,YN,1.304
00201,CI,2IFC,1.489
00201,CI,YN,1.275
00202,SC,2IFC,1.54
00202,SC,YN,1.103
00202,CC,2IFC,1.65
00202,CC,YN,2.083
00202,CI,2IFC,1.477
00202,CI,YN,1.454
