Subject,Condition,Metric,Rate
00003,SC,HR,0.534
00003,CC,HR,0.495
00003,CI,HR,0.23
00038,SC,HR,0.668
00038,CC,HR,0.606
00038,CI,HR,0.475
00051,SC,HR,0.13
00051,CC,HR,0.106
00051,CI,HR,0.064
00052,SC,HR,0.326
00052,CC,HR,0.23
00052,CI,HR,0.078
00054,SC,HR,0.515
00054,CC,HR,0.265
00054,CI,HR,0.065
00060,SC,HR,0.201
00060,CC,HR,0.088
00060,CI,HR,0.015
00061,SC,HR,0.675
00061,CC,HR,0.51
00061,CI,HR,0.459
00068,SC,HR,0.054
00068,CC,HR,0.115
00068,CI,HR,0.084
00071,SC,HR,0.227
00071,CC,HR,0.232
00071,CI,HR,0.035
00130,SC,HR,0.41
00130,CC,HR,0.374
00130,CI,HR,0.389
00161,SC,HR,0.322
00161,CC,HR,0.25
00161,CI,HR,0.142
00162,SC,HR,0.281
00162,CC,HR,0.447
00162,CI,HR,0.25
00193,SC,HR,0.532
00193,CC,HR,0.674
00193,CI,HR,0.396
00200,SC,HR,0.188
00200,CC,HR,0.28
00200,CI,HR,0.037
00201,SC,HR,0.48
00201,CC,HR,0.475
00201,CI,HR,0.096
00202,SC,HR,0.359
00202,CC,HR,0.415
00202,CI,HR,0.31
00003,SC,FAR,0.046
00003,CC,FAR,0.067
00003,CI,FAR,0.015
00038,SC,FAR,0.047
00038,CC,FAR,0.081
00038,CI,FAR,0.046
00051,SC,FAR,0.024
00051,CC,FAR,0.006
00051,CI,FAR,0.005
00052,SC,FAR,0.038
00052,CC,FAR,0.093
00052,CI,FAR,0.044
00054,SC,FAR,0.025
00054,CC,FAR,0.025
00054,CI,FAR,0.065
00060,SC,FAR,0.015
00060,CC,FAR,0.015
00060,CI,FAR,0.005
00061,SC,FAR,0.539
00061,CC,FAR,0.442
00061,CI,FAR,0.403
00068,SC,FAR,0.025
00068,CC,FAR,0.025
00068,CI,FAR,0.015
00071,SC,FAR,0.015
00071,CC,FAR,0.015
00071,CI,FAR,0.015
00130,SC,FAR,0.027
00130,CC,FAR,0.057
00130,CI,FAR,0.027
00161,SC,FAR,0.026
00161,CC,FAR,0.006
00161,CI,FAR,0.024
00162,SC,FAR,0.022
00162,CC,FAR,0.005
00162,CI,FAR,0.005
00193,SC,FAR,0.088
00193,CC,FAR,0.041
00193,CI,FAR,0.035
00200,SC,FAR,0.038
00200,CC,FAR,0.013
00200,CI,FAR,0.005
00201,SC,FAR,0.005
00201,CC,FAR,0.032
00201,CI,FAR,0.014
00202,SC,FAR,0.037
00202,CC,FAR,0.031
00202,CI,FAR,0.005
