Subject,Condition,contrast
00003,CC,3.6570167802507254
00003,CI,4.765820035219153
00003,SC,4.027245631034664
00038,CC,7.1981936632369115
00038,CI,8.79178163458048
00038,SC,6.253050451371088
00051,CC,2.575464042105849
00051,CI,3.20624392185601
00051,SC,2.6042996693235487
00052,CC,2.3093660806249647
00052,CI,2.696739205899443
00052,SC,2.228776476134599
00054,CC,4.744861278817146
00054,CI,4.9370425162918945
00054,SC,4.64596375963147
00060,CC,2.934080684927308
00060,CI,3.4326924009499957
00060,SC,3.941206602823514
00061,CC,2.980435569002929
00061,CI,2.88670333545955
00061,SC,3.6043336843728966
00068,CC,4.043787943111196
00068,CI,3.3669562431748394
00068,SC,3.6087880080140557
00071,CC,3.923045735329675
00071,CI,3.517351835263431
00071,SC,4.194868208890644
00130,CC,4.627455505641782
00130,CI,6.24631114793465
00130,SC,4.338408680687602
00161,CC,4.579347453020255
00161,CI,5.437410607364206
00161,SC,4.8427733934331405
00162,CC,4.796749872898755
00162,CI,5.7476282507506795
00162,SC,5.930319989456913
00193,CC,6.7955279895289475
00193,CI,6.580918527401773
00193,SC,6.503491391332762
00200,CC,3.567073685000435
00200,CI,3.531245363691556
00200,SC,3.638093409698312
00201,CC,3.5584245889848756
00201,CI,4.126135928948791
00201,SC,5.085473079279672
00202,CC,4.721546777313277
00202,CI,5.27090829564801
00202,SC,4.670351307776559
