Contrast,Phase,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Phase,-,After 2IFC,After YN,True,True,-2.9707047341908557,15.0,two-sided,0.009523949909167015,,,5.694,-0.3023553534159681
Category,-,SC,CC,True,True,-1.8033227591946208,15.0,two-sided,0.0914581190632382,0.2743743571897146,bonf,0.95,-0.1423683138848445
Category,-,SC,CI,True,True,-2.2987887730760583,15.0,two-sided,0.03630919264268483,0.10892757792805449,bonf,1.93,-0.2338438671287332
Category,-,CC,CI,True,True,-0.9273095352593126,15.0,two-sided,0.3684471558979048,1.0,bonf,0.371,-0.09158351334415271
Phase * Category,After 2IFC,SC,CC,True,True,-1.7093108506094206,15.0,two-sided,0.10799418651724481,0.6479651191034689,bonf,0.841,-0.2011041534059639
Phase * Category,After 2IFC,SC,CI,True,True,-1.7419713775119403,15.0,two-sided,0.1019742086581673,0.6118452519490037,bonf,0.877,-0.23770842177493218
Phase * Category,After 2IFC,CC,CI,True,True,-0.6167145091041787,15.0,two-sided,0.5466701191034233,1.0,bonf,0.302,-0.054476943779965856
Phase * Category,After YN,SC,CC,True,True,-0.7322456812552003,15.0,two-sided,0.47530533366207883,1.0,bonf,0.323,-0.07679870209992185
Phase * Category,After YN,SC,CI,True,True,-1.591338988129199,15.0,two-sided,0.13238389959768657,0.7943033975861193,bonf,0.726,-0.21060484559937992
Phase * Category,After YN,CC,CI,True,True,-0.9355264076811913,15.0,two-sided,0.36433502378245874,1.0,bonf,0.373,-0.12412013329721916
