Contrast,Task,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Task,-,2IFC,YN,True,True,3.610294224913035,15.0,two-sided,0.0025708161154469745,,,17.063,1.2787016609783595
Condition,-,SC,CC,True,True,-0.8074959561331209,15.0,two-sided,0.4320000111479876,1.0,bonf,0.34,-0.18357228290762098
Condition,-,SC,CI,True,True,2.0944710283516854,15.0,two-sided,0.05360982604035502,0.16082947812106504,bonf,1.424,0.46459781570675107
Condition,-,CC,CI,True,True,3.208527441568268,15.0,two-sided,0.005860622337578156,0.017581867012734467,bonf,8.523,0.6948126328235175
Task * Condition,2IFC,SC,CC,True,True,-0.258636620512644,15.0,two-sided,0.7994309936837056,1.0,bonf,0.263,-0.06584479117190212
Task * Condition,2IFC,SC,CI,True,True,0.20086530908984143,15.0,two-sided,0.8435021380584387,1.0,bonf,0.26,0.047728699413282415
Task * Condition,2IFC,CC,CI,True,True,0.5973203492562322,15.0,two-sided,0.5592032352176226,1.0,bonf,0.299,0.11415866470617195
Task * Condition,YN,SC,CC,True,True,-0.6475186597062632,15.0,two-sided,0.5270831205507517,1.0,bonf,0.307,-0.16148596388643763
Task * Condition,YN,SC,CI,True,True,1.9889429554942317,15.0,two-sided,0.06526658652614108,0.39159951915684643,bonf,1.225,0.46058275935816284
Task * Condition,YN,CC,CI,True,True,3.2575295234417045,15.0,two-sided,0.005300882231216335,0.03180529338729801,bonf,9.269,0.6690648656594436
