Subject,Condition,da_yn,da_2ifc,da_ratio
00003,SC,1.834,1.495,1.2267558528428093
00003,CC,1.48,1.444,1.0249307479224377
00003,CI,1.063,1.776,0.598536036036036
00038,SC,2.165,1.598,1.3548185231539425
00038,CC,1.847,2.099,0.879942829919009
00038,CI,2.045,1.912,1.0695606694560669
00051,SC,0.643,1.274,0.5047095761381476
00051,CC,0.697,1.839,0.3790103317020119
00051,CI,0.525,1.932,0.27173913043478265
00052,SC,0.841,1.955,0.4301790281329923
00052,CC,0.334,2.065,0.16174334140435837
00052,CI,-0.458,1.941,-0.23596084492529623
00054,SC,2.013,1.712,1.1758177570093458
00054,CC,1.687,1.926,0.8759086188992732
00054,CI,-0.109,1.865,-0.05844504021447721
00060,SC,0.887,2.378,0.37300252312867954
00060,CC,0.703,1.897,0.3705851344227728
00060,CI,0.155,2.149,0.072126570497906
00061,SC,0.437,1.839,0.23762914627514956
00061,CC,0.174,1.765,0.09858356940509914
00061,CI,0.1,1.676,0.05966587112171838
00068,SC,-0.581,1.856,-0.31303879310344823
00068,CC,1.207,1.488,0.8111559139784946
00068,CI,0.508,1.469,0.34581347855684136
00071,SC,1.063,1.452,0.7320936639118457
00071,CC,1.085,1.553,0.6986477784932389
00071,CI,0.194,1.291,0.15027110766847407
00130,SC,2.052,2.117,0.9692961738308928
00130,CC,1.912,2.098,0.9113441372735939
00130,CI,1.712,2.252,0.7602131438721137
00161,SC,1.734,1.522,1.1392904073587384
00161,CC,1.207,1.455,0.829553264604811
00161,CI,1.865,1.562,1.1939820742637643
00162,SC,1.194,1.649,0.7240751970891449
00162,CC,1.767,1.68,1.0517857142857143
00162,CI,1.264,1.372,0.9212827988338191
00193,SC,1.596,1.558,1.024390243902439
00193,CC,1.949,1.355,1.4383763837638377
00193,CI,1.575,1.525,1.0327868852459017
00200,SC,0.444,1.701,0.26102292768959434
00200,CC,1.651,1.486,1.1110363391655451
00200,CI,0.34,1.517,0.22412656558998026
00201,SC,1.87,1.777,1.0523353967360722
00201,CC,1.304,1.907,0.6837965390665968
00201,CI,1.275,1.489,0.8562793821356613
00202,SC,1.103,1.54,0.7162337662337662
00202,CC,2.083,1.65,1.2624242424242427
00202,CI,1.454,1.477,0.9844278943805009
