Subject,Task,Category,Accuracy
00003,2IFC,CC,76.76767676767676
00003,2IFC,CI,82.82828282828282
00003,2IFC,SC,77.77777777777779
00003,YN,CC,70.70707070707071
00003,YN,CI,59.59595959595959
00003,YN,SC,74.24242424242425
00038,2IFC,CC,78.64077669902912
00038,2IFC,CI,78.06122448979592
00038,2IFC,SC,78.64583333333334
00038,YN,CC,77.36842105263158
00038,YN,CI,70.0
00038,YN,SC,79.90196078431373
00051,2IFC,CC,83.33333333333334
00051,2IFC,CI,79.29292929292929
00051,2IFC,SC,79.7979797979798
00051,YN,CC,50.505050505050505
00051,YN,CI,52.52525252525253
00051,YN,SC,57.07070707070707
00052,2IFC,CC,84.84848484848484
00052,2IFC,CI,82.82828282828282
00052,2IFC,SC,81.81818181818183
00052,YN,CC,57.57575757575758
00052,YN,CI,52.52525252525253
00052,YN,SC,61.61616161616161
00054,2IFC,CC,79.29292929292929
00054,2IFC,CI,81.81818181818183
00054,2IFC,SC,79.7979797979798
00054,YN,CC,62.121212121212125
00054,YN,CI,50.0
00054,YN,SC,74.74747474747475
00060,2IFC,CC,80.3030303030303
00060,2IFC,CI,84.34343434343434
00060,2IFC,SC,85.85858585858585
00060,YN,CC,55.05050505050505
00060,YN,CI,52.02020202020202
00060,YN,SC,60.1010101010101
00061,2IFC,CC,81.31313131313132
00061,2IFC,CI,78.78787878787878
00061,2IFC,SC,83.33333333333334
00061,YN,CC,53.535353535353536
00061,YN,CI,53.03030303030303
00061,YN,SC,56.56565656565656
00068,2IFC,CC,79.29292929292929
00068,2IFC,CI,79.7979797979798
00068,2IFC,SC,81.81818181818183
00068,YN,CC,54.04040404040404
00068,YN,CI,53.03030303030303
00068,YN,SC,51.010101010101
00071,2IFC,CC,78.78787878787878
00071,2IFC,CI,79.7979797979798
00071,2IFC,SC,80.3030303030303
00071,YN,CC,60.1010101010101
00071,YN,CI,51.010101010101
00071,YN,SC,60.1010101010101
00130,2IFC,CC,84.86486486486487
00130,2IFC,CI,85.64356435643565
00130,2IFC,SC,80.19323671497585
00130,YN,CC,67.77251184834124
00130,YN,CI,66.49484536082474
00130,YN,SC,66.66666666666666
00161,2IFC,CC,77.04081632653062
00161,2IFC,CI,77.27272727272727
00161,2IFC,SC,78.0
00161,YN,CC,57.49999999999999
00161,YN,CI,57.57575757575758
00161,YN,SC,63.26530612244898
00162,2IFC,CC,81.12244897959184
00162,2IFC,CI,73.9795918367347
00162,2IFC,SC,79.70297029702971
00162,YN,CC,71.5
00162,YN,CI,62.0
00162,YN,SC,69.58762886597938
00193,2IFC,CC,74.38423645320196
00193,2IFC,CI,71.58469945355192
00193,2IFC,SC,77.40384615384616
00193,YN,CC,79.79274611398964
00193,YN,CI,66.19718309859155
00193,YN,SC,72.87234042553192
00200,2IFC,CC,78.01047120418848
00200,2IFC,CI,78.74396135265701
00200,2IFC,SC,80.61224489795919
00200,YN,CC,67.8048780487805
00200,YN,CI,52.38095238095239
00200,YN,SC,54.50000000000001
00201,2IFC,CC,82.93838862559242
00201,2IFC,CI,83.06878306878306
00201,2IFC,SC,81.44329896907216
00201,YN,CC,76.21621621621621
00201,YN,CI,56.52173913043478
00201,YN,SC,74.25742574257426
00202,2IFC,CC,80.0
00202,2IFC,CI,78.60696517412936
00202,2IFC,SC,77.40384615384616
00202,YN,CC,71.09004739336493
00202,YN,CI,67.6923076923077
00202,YN,SC,65.95744680851064
