Subject,Condition,da_yn,da_2ifc,da_2ifc_scaled
00003,SC,1.834,1.495,1.0571246378738886
00003,CC,1.48,1.444,1.0210621920333744
00003,CI,1.063,1.776,1.2558216433873084
00038,SC,2.165,1.598,1.1299566363361029
00038,CC,1.847,2.099,1.4842171337105632
00038,CI,2.045,1.912,1.3519881656286787
00051,SC,0.643,1.274,0.9008540392316615
00051,CC,0.697,1.839,1.3003693706020607
00051,CI,0.525,1.932,1.3661303012524098
00052,SC,0.841,1.955,1.3823937572197003
00052,CC,0.334,2.065,1.4601755031502206
00052,CI,-0.458,1.941,1.3724942622830887
00054,SC,2.013,1.712,1.2105668093913693
00054,CC,1.687,1.926,1.3618876605652903
00054,CI,-0.109,1.865,1.318754146912911
00060,SC,0.887,2.378,1.6814999256616099
00060,CC,0.703,1.897,1.3413815639108806
00060,CI,0.155,2.149,1.5195724727698905
00061,SC,0.437,1.839,1.3003693706020607
00061,CC,0.174,1.765,1.2480434687942563
00061,CI,0.1,1.676,1.1851109652686536
00068,SC,-0.581,1.856,1.3123901858822322
00068,CC,1.207,1.488,1.0521748904055825
00068,CI,0.508,1.469,1.0387398615630383
00071,SC,1.063,1.452,1.0267190462828668
00071,CC,1.085,1.553,1.0981368311827082
00071,CI,0.194,1.291,0.9128748545118327
00130,SC,2.052,2.117,1.496945055771921
00130,CC,1.912,2.098,1.4835100269293766
00130,CI,1.712,2.252,1.5924044712321048
00161,SC,1.734,1.522,1.0762165209659253
00161,CC,1.207,1.455,1.0288403666264265
00161,CI,1.865,1.562,1.1045007922133872
00162,SC,1.194,1.649,1.1660190821766168
00162,CC,1.767,1.68,1.1879393923933996
00162,CI,1.264,1.372,0.9701505037879432
00193,SC,1.596,1.558,1.101672365088641
00193,CC,1.949,1.355,0.9581296885077718
00193,CI,1.575,1.525,1.0783378413094848
00200,SC,0.444,1.701,1.2027886347983172
00200,CC,1.651,1.486,1.0507606768432096
00200,CI,0.34,1.517,1.0726809870599925
00201,SC,1.87,1.777,1.2565287501684947
00201,CC,1.304,1.907,1.348452631722746
00201,CI,1.275,1.489,1.0528819971867693
00202,SC,1.103,1.54,1.0889444430272832
00202,CC,2.083,1.65,1.1667261889578033
00202,CI,1.454,1.477,1.0443967158125307
