Subject,Phase,Category,Accuracy
00003,After 2IFC,CC,73.23232323232324
00003,After 2IFC,CI,76.76767676767676
00003,After 2IFC,SC,75.25252525252525
00003,After YN,CC,81.31313131313132
00003,After YN,CI,79.7979797979798
00003,After YN,SC,79.7979797979798
00038,After 2IFC,CC,55.8252427184466
00038,After 2IFC,CI,57.14285714285714
00038,After 2IFC,SC,46.875
00038,After YN,CC,44.21052631578947
00038,After YN,CI,50.0
00038,After YN,SC,49.50980392156863
00051,After 2IFC,CC,74.74747474747475
00051,After 2IFC,CI,72.22222222222221
00051,After 2IFC,SC,66.16161616161617
00051,After YN,CC,76.76767676767676
00051,After YN,CI,84.84848484848484
00051,After YN,SC,75.75757575757575
00052,After 2IFC,CC,77.77777777777779
00052,After 2IFC,CI,76.26262626262627
00052,After 2IFC,SC,76.76767676767676
00052,After YN,CC,73.23232323232324
00052,After YN,CI,77.27272727272727
00052,After YN,SC,72.22222222222221
00054,After 2IFC,CC,69.1919191919192
00054,After 2IFC,CI,62.62626262626263
00054,After 2IFC,SC,65.15151515151516
00054,After YN,CC,79.29292929292929
00054,After YN,CI,66.16161616161617
00054,After YN,SC,76.76767676767676
00060,After 2IFC,CC,71.21212121212122
00060,After 2IFC,CI,74.74747474747475
00060,After 2IFC,SC,67.67676767676768
00060,After YN,CC,80.8080808080808
00060,After YN,CI,77.77777777777779
00060,After YN,SC,75.25252525252525
00061,After 2IFC,CC,64.14141414141415
00061,After 2IFC,CI,70.2020202020202
00061,After 2IFC,SC,69.1919191919192
00061,After YN,CC,65.65656565656566
00061,After YN,CI,74.24242424242425
00061,After YN,SC,63.13131313131313
00068,After 2IFC,CC,45.95959595959596
00068,After 2IFC,CI,44.94949494949495
00068,After 2IFC,SC,48.484848484848484
00068,After YN,CC,56.060606060606055
00068,After YN,CI,65.65656565656566
00068,After YN,SC,58.58585858585859
00071,After 2IFC,CC,77.27272727272727
00071,After 2IFC,CI,75.75757575757575
00071,After 2IFC,SC,71.71717171717171
00071,After YN,CC,75.25252525252525
00071,After YN,CI,75.25252525252525
00071,After YN,SC,73.73737373737373
00130,After 2IFC,CC,52.972972972972975
00130,After 2IFC,CI,52.475247524752476
00130,After 2IFC,SC,48.309178743961354
00130,After YN,CC,53.08056872037915
00130,After YN,CI,57.73195876288659
00130,After YN,SC,56.613756613756614
00161,After 2IFC,CC,72.44897959183673
00161,After 2IFC,CI,79.29292929292929
00161,After 2IFC,SC,73.0
00161,After YN,CC,73.0
00161,After YN,CI,82.82828282828282
00161,After YN,SC,72.44897959183673
00162,After 2IFC,CC,78.06122448979592
00162,After 2IFC,CI,81.63265306122449
00162,After 2IFC,SC,73.26732673267327
00162,After YN,CC,84.5
00162,After YN,CI,82.5
00162,After YN,SC,77.31958762886599
00193,After 2IFC,CC,52.21674876847291
00193,After 2IFC,CI,44.26229508196721
00193,After 2IFC,SC,55.769230769230774
00193,After YN,CC,60.10362694300518
00193,After YN,CI,53.990610328638496
00193,After YN,SC,47.87234042553192
00200,After 2IFC,CC,52.35602094240838
00200,After 2IFC,CI,54.106280193236714
00200,After 2IFC,SC,59.693877551020414
00200,After YN,CC,56.58536585365853
00200,After YN,CI,57.67195767195767
00200,After YN,SC,64.5
00201,After 2IFC,CC,81.04265402843602
00201,After 2IFC,CI,88.88888888888889
00201,After 2IFC,SC,73.19587628865979
00201,After YN,CC,80.0
00201,After YN,CI,82.1256038647343
00201,After YN,SC,83.16831683168317
00202,After 2IFC,CC,66.48648648648648
00202,After 2IFC,CI,64.6766169154229
00202,After 2IFC,SC,59.13461538461539
00202,After YN,CC,68.72037914691943
00202,After YN,CI,64.61538461538461
00202,After YN,SC,67.5531914893617
