Subject,Condition,HR,FAR
00003,SC,0.534,0.046
00003,CC,0.495,0.067
00003,CI,0.23,0.015
00038,SC,0.668,0.047
00038,CC,0.606,0.081
00038,CI,0.475,0.046
00051,SC,0.13,0.024
00051,CC,0.106,0.006
00051,CI,0.064,0.005
00052,SC,0.326,0.038
00052,CC,0.23,0.093
00052,CI,0.078,0.044
00054,SC,0.515,0.025
00054,CC,0.265,0.025
00054,CI,0.065,0.065
00060,SC,0.201,0.015
00060,CC,0.088,0.015
00060,CI,0.015,0.005
00061,SC,0.675,0.539
00061,CC,0.51,0.442
00061,CI,0.459,0.403
00068,SC,0.054,0.025
00068,CC,0.115,0.025
00068,CI,0.084,0.015
00071,SC,0.227,0.015
00071,CC,0.232,0.015
00071,CI,0.035,0.015
00130,SC,0.41,0.027
00130,CC,0.374,0.057
00130,CI,0.389,0.027
00161,SC,0.322,0.026
00161,CC,0.25,0.006
00161,CI,0.142,0.024
00162,SC,0.281,0.022
00162,CC,0.447,0.005
00162,CI,0.25,0.005
00193,SC,0.532,0.088
00193,CC,0.674,0.041
00193,CI,0.396,0.035
00200,SC,0.188,0.038
00200,CC,0.28,0.013
00200,CI,0.037,0.005
00201,SC,0.48,0.005
00201,CC,0.475,0.032
00201,CI,0.096,0.014
00202,SC,0.359,0.037
00202,CC,0.415,0.031
00202,CI,0.31,0.005
