Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
1,2IFC,CC,,right,True,0.610482000047341,False,,,,True,0.049999999999999996,,,
1,WM_probe,CC,,4,True,1.5247226000064984,False,,,,True,,4.0,0.0,0.0
2,2IFC,CI,,left,True,0.6131587000563741,False,,,,True,0.049999999999999996,,,
2,WM_probe,CI,,1,True,1.9971101999981329,False,,,,True,,1.0,0.0,0.0
3,2IFC,SC,,left,True,0.6441955000627786,False,,,,True,0.049999999999999996,,,
3,WM_probe,SC,,1,True,1.1521432000445202,False,,,,True,,1.0,0.0,0.0
4,2IFC,CC,,right,False,0.5746433000313118,False,,,,False,0.03971641173621406,,,
4,WM_probe,CC,,3,True,1.0509062999626622,False,,,,True,,3.0,0.0,0.0
5,2IFC,CI,,right,True,0.6168176999781281,False,,,,True,0.03971641173621406,,,
5,WM_probe,CI,,3,False,1.0135262000840157,False,,,,False,,2.0,0.0,0.0
6,2IFC,CI,,left,True,0.5907227999996394,False,,,,True,0.031547867224009644,,,
6,WM_probe,CI,,1,True,1.1382502999622375,False,,,,True,,1.0,0.0,0.0
7,2IFC,SC,,right,True,0.5606456999666989,False,,,,True,0.03971641173621406,,,
7,WM_probe,SC,,3,True,1.1970451000379398,False,,,,True,,3.0,0.0,0.0
8,2IFC,SC,,left,True,0.5565826999954879,False,,,,True,0.031547867224009644,,,
8,WM_probe,SC,,4,True,1.3702269999776036,False,,,,True,,4.0,0.0,0.0
9,2IFC,CC,,right,True,0.6184629999333993,False,,,,True,0.049999999999999996,,,
9,WM_probe,CC,,3,True,1.6865511999931186,False,,,,True,,3.0,0.0,0.0
10,2IFC,CI,,right,True,0.5856208000332117,False,,,,True,0.025059361681363596,,,
10,WM_probe,CI,,1,True,1.5675691000651568,False,,,,True,,1.0,0.0,0.0
11,2IFC,CI,,right,False,0.5953841001028195,False,,,,False,0.019905358527674843,,,
11,WM_probe,CI,,2,True,2.0678090000292286,False,,,,True,,2.0,0.0,0.0
12,2IFC,CC,,left,True,0.5738511000527069,False,,,,True,0.049999999999999996,,,
12,WM_probe,CC,,3,False,1.970150199951604,False,,,,False,,1.0,0.0,0.0
13,2IFC,SC,,left,True,0.604114199988544,False,,,,True,0.025059361681363596,,,
13,WM_probe,SC,,1,True,2.096295800060034,False,,,,True,,1.0,0.0,0.0
14,2IFC,SC,,left,True,0.6052053000312299,False,,,,True,0.019905358527674843,,,
14,WM_probe,SC,,4,True,1.8396733000408858,False,,,,True,,4.0,0.0,0.0
15,2IFC,CI,,right,True,0.6293049999512732,False,,,,True,0.025059361681363596,,,
15,WM_probe,CI,,3,True,2.0555165999103338,False,,,,True,,3.0,0.0,0.0
16,2IFC,SC,,right,True,0.6140183999668807,False,,,,True,0.01581138830084188,,,
16,WM_probe,SC,,1,True,1.5087378999451175,False,,,,True,,1.0,0.0,0.0
17,2IFC,CI,,right,True,0.7184399000834674,False,,,,True,0.025059361681363596,,,
17,WM_probe,CI,,3,False,1.797728499979712,False,,,,False,,4.0,0.0,0.0
18,2IFC,SC,,right,True,0.5746200000867248,False,,,,True,0.012559432157547883,,,
18,WM_probe,SC,,1,True,1.2566350999986753,False,,,,True,,1.0,0.0,0.0
19,2IFC,CC,,right,True,0.5469416999258101,False,,,,True,0.049999999999999996,,,
19,WM_probe,CC,,4,True,1.7324372000293806,False,,,,True,,4.0,0.0,0.0
20,2IFC,SC,,left,True,0.5454769000643864,False,,,,True,0.009976311574844382,,,
20,WM_probe,SC,,4,True,1.2689866001019254,False,,,,True,,4.0,0.0,0.0
21,2IFC,CC,,right,True,0.5746585000306368,False,,,,True,0.03971641173621406,,,
21,WM_probe,CC,,4,True,1.081881899968721,False,,,,True,,4.0,0.0,0.0
22,2IFC,SC,,right,False,0.6241973999422044,False,,,,False,0.007924465962305553,,,
22,WM_probe,SC,,4,True,1.833997800014913,False,,,,True,,4.0,0.0,0.0
23,2IFC,CI,,right,False,0.6625909999711439,False,,,,False,0.025059361681363596,,,
23,WM_probe,CI,,3,True,1.3694291999563575,False,,,,True,,3.0,0.0,0.0
24,2IFC,CI,,right,True,0.5759382999967784,False,,,,True,0.031547867224009644,,,
24,WM_probe,CI,,1,True,1.1838359999237582,False,,,,True,,1.0,0.0,0.0
25,2IFC,SC,,right,True,0.6595130000496283,False,,,,True,0.009976311574844382,,,
25,WM_probe,SC,,3,True,1.325279299984686,False,,,,True,,3.0,0.0,0.0
26,2IFC,CC,,left,True,0.5807811999693513,False,,,,True,0.03971641173621406,,,
26,WM_probe,CC,,1,True,1.202676400076598,False,,,,True,,1.0,0.0,0.0
27,2IFC,CC,,right,True,0.576663599931635,False,,,,True,0.03971641173621406,,,
27,WM_probe,CC,,1,False,1.9546603000489995,False,,,,False,,2.0,0.0,0.0
28,2IFC,CC,,right,True,0.5554585999343544,False,,,,True,0.031547867224009644,,,
28,WM_probe,CC,,3,True,1.9996020999969915,False,,,,True,,3.0,0.0,0.0
29,2IFC,SC,,right,True,0.5864519999595359,False,,,,True,0.009976311574844382,,,
29,WM_probe,SC,,3,True,1.4051750999642536,False,,,,True,,3.0,0.0,0.0
30,2IFC,CC,,left,True,0.57792739989236,False,,,,True,0.031547867224009644,,,
30,WM_probe,CC,,2,True,1.3034900999628007,False,,,,True,,2.0,0.0,0.0
31,2IFC,CI,,right,True,0.5883269999176264,False,,,,True,0.031547867224009644,,,
31,WM_probe,CI,,1,True,2.2457388000329956,False,,,,True,,1.0,0.0,0.0
32,2IFC,CC,,right,True,0.6195133000146598,False,,,,True,0.031547867224009644,,,
32,WM_probe,CC,,4,True,1.2206091999541968,False,,,,True,,4.0,0.0,0.0
33,2IFC,SC,,right,False,0.6919381999177858,False,,,,False,0.009976311574844382,,,
33,WM_probe,SC,,3,True,1.0458514000056311,False,,,,True,,3.0,0.0,0.0
34,2IFC,CC,,right,True,0.5924782999791205,False,,,,True,0.025059361681363596,,,
34,WM_probe,CC,,4,True,0.9020446001086384,False,,,,True,,4.0,0.0,0.0
35,2IFC,CI,,right,True,0.604067699983716,False,,,,True,0.031547867224009644,,,
35,WM_probe,CI,,3,True,1.9197934999829158,False,,,,True,,3.0,0.0,0.0
36,2IFC,CI,,left,True,0.5648011999437585,False,,,,True,0.025059361681363596,,,
36,WM_probe,CI,,4,True,1.7295106999808922,False,,,,True,,4.0,0.0,0.0
37,2IFC,SC,,right,True,0.6068063999991864,False,,,,True,0.012559432157547883,,,
37,WM_probe,SC,,1,True,1.6077821000944823,False,,,,True,,1.0,0.0,0.0
38,2IFC,CC,,right,True,0.6010794999310747,False,,,,True,0.025059361681363596,,,
38,WM_probe,CC,,3,True,0.9813726000720635,False,,,,True,,3.0,0.0,0.0
39,2IFC,CI,,right,True,0.6079448000527918,False,,,,True,0.025059361681363596,,,
39,WM_probe,CI,,3,False,1.5905853000003844,False,,,,False,,2.0,0.0,0.0
40,2IFC,CC,,right,True,0.587867199908942,False,,,,True,0.025059361681363596,,,
40,WM_probe,CC,,1,True,1.4509776000631973,False,,,,True,,1.0,0.0,0.0
41,2IFC,CC,,right,True,0.5580120000522584,False,,,,True,0.019905358527674843,,,
41,WM_probe,CC,,3,True,1.0727042000507936,False,,,,True,,3.0,0.0,0.0
42,2IFC,SC,,right,False,0.6130789000308141,False,,,,False,0.012559432157547883,,,
42,WM_probe,SC,,4,True,1.123093800037168,False,,,,True,,4.0,0.0,0.0
43,2IFC,CI,,right,False,0.8381612999364734,False,,,,False,0.025059361681363596,,,
43,WM_probe,CI,,1,True,1.8163108000298962,False,,,,True,,1.0,0.0,0.0
44,2IFC,CI,,right,True,0.6476483999285847,False,,,,True,0.031547867224009644,,,
44,WM_probe,CI,,3,True,0.9699467000318691,False,,,,True,,3.0,0.0,0.0
45,2IFC,SC,,right,True,0.8450905999634415,False,,,,True,0.01581138830084188,,,
45,WM_probe,SC,,4,True,1.2630829999689013,False,,,,True,,4.0,0.0,0.0
46,2IFC,CC,,left,True,0.5776810999959707,False,,,,True,0.019905358527674843,,,
46,WM_probe,CC,,3,True,1.3326735999435186,False,,,,True,,3.0,0.0,0.0
47,2IFC,SC,,right,False,0.8292557999957353,False,,,,False,0.01581138830084188,,,
47,WM_probe,SC,,4,True,0.9696213999995962,False,,,,True,,4.0,0.0,0.0
48,2IFC,SC,,left,True,0.6236415000166744,False,,,,True,0.019905358527674843,,,
48,WM_probe,SC,,1,False,1.235828600008972,False,,,,False,,2.0,0.0,0.0
49,2IFC,CI,,right,True,0.5445463999640197,False,,,,True,0.031547867224009644,,,
49,WM_probe,CI,,3,False,1.357517399941571,False,,,,False,,4.0,0.0,0.0
50,2IFC,SC,,right,True,0.5795936000067741,False,,,,True,0.019905358527674843,,,
50,WM_probe,SC,,1,True,1.1109394999220967,False,,,,True,,1.0,0.0,0.0
51,2IFC,SC,,right,False,0.6026231000432745,False,,,,False,0.019905358527674843,,,
