Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
1,2IFC,CI,,left,False,0.563239699229598,False,,,,False,0.049999999999999996,,,
1,WM_probe,CI,,2,False,2.028685700148344,False,,,,False,,1.0,0.0,0.0
2,2IFC,CC,,right,True,0.45839899964630604,False,,,,True,0.049999999999999996,,,
2,WM_probe,CC,,1,True,1.5036474000662565,False,,,,True,,1.0,0.0,0.0
3,2IFC,SC,,left,True,0.5160470008850098,False,,,,True,0.049999999999999996,,,
3,WM_probe,SC,,4,True,1.6270001996308565,False,,,,True,,4.0,0.0,0.0
4,2IFC,SC,,right,True,0.4252089988440275,False,,,,True,0.03971641173621406,,,
4,WM_probe,SC,,2,True,1.3754530008882284,False,,,,True,,2.0,0.0,0.0
5,2IFC,SC,,left,True,0.5312724988907576,False,,,,True,0.031547867224009644,,,
5,WM_probe,SC,,2,True,0.9467877000570297,False,,,,True,,2.0,0.0,0.0
6,2IFC,SC,,left,True,0.4271530993282795,False,,,,True,0.025059361681363596,,,
6,WM_probe,SC,,4,True,1.4971845000982285,False,,,,True,,4.0,0.0,0.0
7,2IFC,SC,,right,True,0.49025730043649673,False,,,,True,0.019905358527674843,,,
7,WM_probe,SC,,1,True,1.2897058986127377,False,,,,True,,1.0,0.0,0.0
8,2IFC,SC,,right,False,0.28003660030663013,False,,,,False,0.01581138830084188,,,
8,WM_probe,SC,,3,True,1.2278237007558346,False,,,,True,,3.0,0.0,0.0
9,2IFC,CC,,left,True,0.5080395992845297,False,,,,True,0.03971641173621406,,,
9,WM_probe,CC,,1,True,1.0427508000284433,False,,,,True,,1.0,0.0,0.0
10,2IFC,CC,,left,True,0.38241349905729294,False,,,,True,0.031547867224009644,,,
10,WM_probe,CC,,1,False,1.6666075009852648,False,,,,False,,3.0,0.0,0.0
11,2IFC,CC,,right,True,0.5276254005730152,False,,,,True,0.025059361681363596,,,
11,WM_probe,CC,,1,True,1.1842248998582363,False,,,,True,,1.0,0.0,0.0
12,2IFC,SC,,left,True,0.35322860069572926,False,,,,True,0.019905358527674843,,,
12,WM_probe,SC,,2,False,1.7971512004733086,False,,,,False,,1.0,1.0,0.0
13,2IFC,CI,,right,True,0.3241557013243437,False,,,,True,0.06294627058970836,,,
13,WM_probe,CI,,2,True,1.944752398878336,False,,,,True,,2.0,0.0,0.0
14,2IFC,SC,,left,False,0.4171730000525713,False,,,,False,0.019905358527674843,,,
14,WM_probe,SC,,4,False,1.6711720004677773,False,,,,False,,3.0,1.0,0.0
15,2IFC,CC,,right,True,0.3547596000134945,False,,,,True,0.019905358527674843,,,
15,WM_probe,CC,,1,False,1.9376174993813038,False,,,,False,,3.0,0.0,0.0
16,2IFC,CI,,right,True,0.3576839994639158,False,,,,True,0.049999999999999996,,,
16,WM_probe,CI,,4,True,2.240802800282836,False,,,,True,,4.0,0.0,0.0
17,2IFC,SC,,right,True,0.7053852006793022,False,,,,True,0.025059361681363596,,,
17,WM_probe,SC,,2,True,1.3176506999880075,False,,,,True,,2.0,0.0,0.0
18,2IFC,CI,,right,True,0.3296096995472908,False,,,,True,0.049999999999999996,,,
18,WM_probe,CI,,2,True,1.8496046997606754,False,,,,True,,2.0,0.0,0.0
19,2IFC,CI,,left,True,0.42190049961209297,False,,,,True,0.049999999999999996,,,
19,WM_probe,CI,,4,True,1.4854680001735687,False,,,,True,,4.0,0.0,0.0
20,2IFC,CI,,right,True,0.4523290004581213,False,,,,True,0.03971641173621406,,,
20,WM_probe,CI,,1,True,1.276291100308299,False,,,,True,,1.0,0.0,0.0
21,2IFC,CI,,left,True,0.4034510999917984,False,,,,True,0.03971641173621406,,,
21,WM_probe,CI,,4,True,2.4946964997798204,False,,,,True,,4.0,0.0,0.0
22,2IFC,SC,,left,False,0.38631209917366505,False,,,,False,0.025059361681363596,,,
22,WM_probe,SC,,3,True,2.064972100779414,False,,,,True,,3.0,0.0,0.0
23,2IFC,CI,,left,True,0.3853212986141443,False,,,,True,0.03971641173621406,,,
23,WM_probe,CI,,3,True,1.3603723999112844,False,,,,True,,3.0,0.0,0.0
24,2IFC,SC,,left,True,0.40629890002310276,False,,,,True,0.031547867224009644,,,
24,WM_probe,SC,,4,True,1.0105256009846926,False,,,,True,,4.0,0.0,0.0
25,2IFC,CI,,right,True,0.42539420165121555,False,,,,True,0.031547867224009644,,,
25,WM_probe,CI,,3,True,1.102598899975419,False,,,,True,,3.0,0.0,0.0
26,2IFC,CC,,left,True,0.36333899945020676,False,,,,True,0.01581138830084188,,,
26,WM_probe,CC,,3,True,2.4174460005015135,False,,,,True,,3.0,0.0,0.0
27,2IFC,CI,,right,True,0.43774089962244034,False,,,,True,0.031547867224009644,,,
27,WM_probe,CI,,4,True,2.1711569000035524,False,,,,True,,4.0,0.0,0.0
28,2IFC,CI,,left,True,0.32560550048947334,False,,,,True,0.031547867224009644,,,
28,WM_probe,CI,,2,True,1.2566647995263338,False,,,,True,,2.0,0.0,0.0
29,2IFC,SC,,right,True,0.39907030016183853,False,,,,True,0.031547867224009644,,,
29,WM_probe,SC,,4,True,1.3024735990911722,False,,,,True,,4.0,0.0,0.0
30,2IFC,CC,,left,False,0.5188647005707026,False,,,,False,0.012559432157547883,,,
30,WM_probe,CC,,3,True,1.733380001038313,False,,,,True,,3.0,0.0,0.0
31,2IFC,CC,,left,False,0.40606250055134296,False,,,,False,0.01581138830084188,,,
31,WM_probe,CC,,2,True,0.9637304004281759,False,,,,True,,2.0,0.0,0.0
32,2IFC,CC,,left,False,0.496585700660944,False,,,,False,0.019905358527674843,,,
32,WM_probe,CC,,1,True,1.0898736994713545,False,,,,True,,1.0,0.0,0.0
33,2IFC,SC,,left,True,0.34911459870636463,False,,,,True,0.031547867224009644,,,
33,WM_probe,SC,,2,True,1.882369900122285,False,,,,True,,2.0,0.0,0.0
34,2IFC,CC,,left,True,0.3409789986908436,False,,,,True,0.025059361681363596,,,
34,WM_probe,CC,,1,True,1.4716557003557682,False,,,,True,,1.0,0.0,0.0
35,2IFC,SC,,left,True,0.17178899981081486,False,,,,True,0.025059361681363596,,,
35,WM_probe,SC,,2,True,1.09330790117383,False,,,,True,,2.0,0.0,0.0
36,2IFC,CI,,left,True,0.3229730986058712,False,,,,True,0.025059361681363596,,,
36,WM_probe,CI,,2,True,1.4903973992913961,False,,,,True,,2.0,0.0,0.0
37,2IFC,CC,,left,False,0.34884050115942955,False,,,,False,0.025059361681363596,,,
37,WM_probe,CC,,2,True,1.0885924994945526,False,,,,True,,2.0,0.0,0.0
38,2IFC,SC,,right,False,0.23177860118448734,False,,,,False,0.025059361681363596,,,
38,WM_probe,SC,,3,True,1.0623599011451006,False,,,,True,,3.0,0.0,0.0
39,2IFC,CC,,left,True,0.44449060037732124,False,,,,True,0.031547867224009644,,,
39,WM_probe,CC,,3,True,1.1149675995111465,False,,,,True,,3.0,0.0,0.0
40,2IFC,SC,,left,True,0.3459249995648861,False,,,,True,0.031547867224009644,,,
40,WM_probe,SC,,4,True,1.8822317011654377,False,,,,True,,4.0,0.0,0.0
41,2IFC,CI,,right,True,0.6109596993774176,False,,,,True,0.025059361681363596,,,
41,WM_probe,CI,,3,True,2.5022986996918917,False,,,,True,,3.0,0.0,0.0
42,2IFC,SC,,left,False,0.4032346997410059,False,,,,False,0.031547867224009644,,,
42,WM_probe,SC,,4,True,1.0874673016369343,False,,,,True,,4.0,0.0,0.0
43,2IFC,CI,,right,False,0.8704982995986938,False,,,,False,0.025059361681363596,,,
